sta lon lat
1596.csv -74.5500 39.2972
1597.csv -74.5375 39.2972
1598.csv -74.5250 39.2972
1599.csv -74.5125 39.2972
1600.csv -74.5000 39.2972
1601.csv -74.4875 39.2972
1602.csv -74.4750 39.2972
1603.csv -74.4625 39.2972
1604.csv -74.4500 39.2972
1605.csv -74.4375 39.2972
1606.csv -74.4250 39.2972
1607.csv -74.4125 39.2972
1608.csv -74.4000 39.2972
1677.csv -74.5500 39.3070
1678.csv -74.5375 39.3070
1679.csv -74.5250 39.3070
1680.csv -74.5125 39.3070
1681.csv -74.5000 39.3070
1682.csv -74.4875 39.3070
1683.csv -74.4750 39.3070
1684.csv -74.4625 39.3070
1685.csv -74.4500 39.3070
1686.csv -74.4375 39.3070
1687.csv -74.4250 39.3070
1688.csv -74.4125 39.3070
1689.csv -74.4000 39.3070
1690.csv -74.3875 39.3070
1760.csv -74.5500 39.3167
1761.csv -74.5375 39.3167
1762.csv -74.5250 39.3167
1763.csv -74.5125 39.3167
1764.csv -74.5000 39.3167
1765.csv -74.4875 39.3167
1766.csv -74.4750 39.3167
1767.csv -74.4625 39.3167
1768.csv -74.4500 39.3167
1769.csv -74.4375 39.3167
1770.csv -74.4250 39.3167
1771.csv -74.4125 39.3167
1772.csv -74.4000 39.3167
1773.csv -74.3875 39.3167
1774.csv -74.3750 39.3167
1775.csv -74.3625 39.3167
1846.csv -74.5500 39.3265
1847.csv -74.5375 39.3265
1848.csv -74.5250 39.3265
1849.csv -74.5125 39.3265
1850.csv -74.5000 39.3265
1851.csv -74.4875 39.3265
1852.csv -74.4750 39.3265
1853.csv -74.4625 39.3265
1854.csv -74.4500 39.3265
1855.csv -74.4375 39.3265
1856.csv -74.4250 39.3265
1857.csv -74.4125 39.3265
1858.csv -74.4000 39.3265
1859.csv -74.3875 39.3265
1860.csv -74.3750 39.3265
1861.csv -74.3625 39.3265
1862.csv -74.3500 39.3265
1935.csv -74.5500 39.3362
1936.csv -74.5375 39.3362
1937.csv -74.5250 39.3362
1938.csv -74.5125 39.3362
1939.csv -74.5000 39.3362
1940.csv -74.4875 39.3362
1941.csv -74.4750 39.3362
1942.csv -74.4625 39.3362
1943.csv -74.4500 39.3362
1944.csv -74.4375 39.3362
1945.csv -74.4250 39.3362
1946.csv -74.4125 39.3362
1947.csv -74.4000 39.3362
1948.csv -74.3875 39.3362
1949.csv -74.3750 39.3362
1950.csv -74.3625 39.3362
1951.csv -74.3500 39.3362
1952.csv -74.3375 39.3362
2026.csv -74.5500 39.3460
2027.csv -74.5375 39.3460
2028.csv -74.5250 39.3460
2029.csv -74.5125 39.3460
2030.csv -74.5000 39.3460
2031.csv -74.4875 39.3460
2032.csv -74.4750 39.3460
2033.csv -74.4625 39.3460
2034.csv -74.4500 39.3460
2035.csv -74.4375 39.3460
2036.csv -74.4250 39.3460
2037.csv -74.4125 39.3460
2038.csv -74.4000 39.3460
2039.csv -74.3875 39.3460
2040.csv -74.3750 39.3460
2041.csv -74.3625 39.3460
2042.csv -74.3500 39.3460
2043.csv -74.3375 39.3460
2044.csv -74.3250 39.3460
2119.csv -74.5500 39.3558
2120.csv -74.5375 39.3558
2121.csv -74.5250 39.3558
2122.csv -74.5125 39.3558
2123.csv -74.5000 39.3558
2124.csv -74.4875 39.3558
2125.csv -74.4750 39.3558
2126.csv -74.4625 39.3558
2127.csv -74.4500 39.3558
2128.csv -74.4375 39.3558
2129.csv -74.4250 39.3558
2130.csv -74.4125 39.3558
2131.csv -74.4000 39.3558
2132.csv -74.3875 39.3558
2133.csv -74.3750 39.3558
2134.csv -74.3625 39.3558
2135.csv -74.3500 39.3558
2136.csv -74.3375 39.3558
2137.csv -74.3250 39.3558
2213.csv -74.5500 39.3655
2214.csv -74.5375 39.3655
2215.csv -74.5250 39.3655
2216.csv -74.5125 39.3655
2217.csv -74.5000 39.3655
2218.csv -74.4875 39.3655
2219.csv -74.4750 39.3655
2220.csv -74.4625 39.3655
2221.csv -74.4500 39.3655
2222.csv -74.4375 39.3655
2223.csv -74.4250 39.3655
2224.csv -74.4125 39.3655
2225.csv -74.4000 39.3655
2226.csv -74.3875 39.3655
