,lon,lat,structureType,occupancy,stories,yearBuilt,replacementCost,area,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AveJanTemp,RoofShape,RoofSlope,SheathingThick,RoofSystem,MeanRoofHt,WindowArea,Garage,LULC,DesignLevel
1,-74.4031417,39.3917918,Stucco,Residential,3,1994,1,4690.173698,,,Atlantic,NJ,39.3917918,-74.4031417,RES3A,3001,,,E,1994,1994,3,3,nav,4690.173698,4690.173698,3501,0,,,,10,6101,,125,,,,above,gabled,0.25,1,Wood,,0.2,1,5000,
2,-74.4422229,39.3684999,Frame,Residential,2,1915,1,3224.604277,,,Atlantic,NJ,39.3684999,-74.4422229,RES3B,3001,,,E,1915,1915,2,2,nav,3224.604277,3224.604277,3501,0,,,,10,6101,,124,,,,above,hipped,0.25,1,Wood,,0.2,0,1110,
3,-74.5053349,39.3396264,Frame,Residential,2,1966,1,2873.245053,,,Atlantic,NJ,39.3396264,-74.5053349,RES3C,3001,,,E,1966,1966,2,2,nav,2873.245053,2873.245053,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,0,1110,
4,-74.4728721,39.3416591,Stone,Residential,1,1926,1,1521.224066,,,Atlantic,NJ,39.3416591,-74.4728721,RES3C,3001,,,E,1926,1926,1,1,nav,1521.224066,1521.224066,3501,0,,,,10,6101,,124,,,,above,flat,0,1,Wood,,0.2,0,1110,
5,-74.4718189,39.3423465,Frame,Residential,2,1920,1,2707.17834,,,Atlantic,NJ,39.3423465,-74.4718189,RES3D,3001,,,E,1920,1920,2,2,nav,2707.17834,2707.17834,3501,0,,,,10,6101,,124,,,,above,hipped,0.25,1,Wood,,0.2,0,1110,
6,-74.462354,39.345342,Brick,Residential,2,1900,1,3565.396756,,,Atlantic,NJ,39.345342,-74.462354,RES3E,3001,,,E,1900,1900,2,2,nav,3565.396756,3565.396756,3501,0,,,,10,6101,,124,,,,above,flat,0,1,Wood,,0.2,0,1110,
7,-74.462649,39.3487226,Brick,Residential,2,1900,1,1403.390044,,,Atlantic,NJ,39.3487226,-74.462649,RES1,3001,,,E,1900,1900,2,2,nav,1403.390044,1403.390044,3501,0,,,,10,6101,,124,,,,above,hipped,0.25,1,Wood,,0.2,0,1110,
8,-74.441704,39.368541,Frame,Residential,2,1900,1,1721.953486,,,Atlantic,NJ,39.368541,-74.441704,RES1,3001,,,E,1900,1900,2,2,nav,1721.953486,1721.953486,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,0,1110,
9,-74.433354,39.369196,Frame,Residential,1,1900,1,7683.066947,,,Atlantic,NJ,39.369196,-74.433354,RES5,3001,,,E,1900,1900,1,1,nav,7683.066947,7683.066947,3501,0,,,,10,6101,,125,,,,above,gabled,0.25,1,Wood,,0.2,0,1110,
10,-74.4417774,39.3697748,Frame,Residential,2,1900,1,2130.220552,,,Atlantic,NJ,39.3697748,-74.4417774,RES1,3001,,,E,1900,1900,2,2,nav,2130.220552,2130.220552,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,0,1110,
11,-74.422724,39.3721542,Other,Residential,1,1995,1,3249.309285,,,Atlantic,NJ,39.3721542,-74.422724,RES1,3004,,,E,1995,1995,1,1,nav,3249.309285,3249.309285,3501,0,,,,10,6101,,124,,,,above,hipped,0.25,1,Wood,,0.2,0,1110,
12,-74.4252317,39.3728825,Other,Residential,2,1996,1,3266.993642,,,Atlantic,NJ,39.3728825,-74.4252317,RES1,3004,,,E,1996,1996,2,2,nav,3266.993642,3266.993642,3501,1,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,1,1110,
13,-74.4568996,39.349583,Other,Residential,1,1997,1,3284.677999,,,Atlantic,NJ,39.349583,-74.4568996,RES1,3004,,,E,1997,1997,1,1,nav,3284.677999,3284.677999,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,1,1110,
