,Collapse,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood
comp_type,probability,S,S,S,S,S,S,NS,NS,NS,NS,NS,NSA,NSA,NSA,NSA,NSA,NSD,NSD,NSD,NSD,NSD
DSG_DS, ,0,1_1,2_1,3_1,4_1,4_2,0,1_1,2_1,3_1,4_1,0,1_1,2_1,3_1,4_1,0,1_1,2_1,3_1,4_1
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.2,0.0,0.4,0.2,0.2,0.2,1.0,0.0,0.0,0.0,0.0
2,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.2,0.20000000000000007,0.4,0.0,0.2,0.2,0.20000000000000007,0.4,0.0,0.2,0.8,0.2,0.0,0.0,0.0
3,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.4,0.0,0.2,0.4,0.0,0.4,0.6,0.4,0.0,0.0,0.0
4,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.2,0.0,0.4,0.2,0.2,0.2,0.4,0.4,0.2,0.0,0.0
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.2,0.0,0.4,0.0,0.4,0.2,0.8,0.2,0.0,0.0,0.0
6,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.2,0.20000000000000007,0.6,0.0,0.0,0.2,0.20000000000000007,0.6,0.0,0.0,0.6,0.2,0.2,0.0,0.0
7,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.0,0.0,0.4,0.2,0.4,0.0,0.2,0.8,0.0,0.0,0.0
8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.2,0.0,0.0,0.2,0.6000000000000001,0.2,0.8,0.2,0.0,0.0,0.0
9,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.4,0.6,0.0,0.0,0.0
10,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.0,0.0,0.4,0.2,0.4,0.6,0.2,0.2,0.0,0.0
11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0,0.2,0.4,0.4,0.0,1.0,0.0,0.0,0.0,0.0
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.6,0.4,0.0,0.6,0.4,0.0,0.0,0.0
13,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0,0.2,0.4,0.4,1.0,0.0,0.0,0.0,0.0
15,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.0,0.6,0.2,0.2,0.6,0.2,0.2,0.0,0.0
16,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.6,0.4,0.0,0.0
17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.6,0.4,1.0,0.0,0.0,0.0,0.0
18,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.2,0.2,0.20000000000000007,0.2,0.2,0.2,0.4,0.6,0.0,0.0,0.0
19,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.2,0.4,0.2,0.2,0.0,0.6,0.4,0.0,0.0,0.0
