,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,Collapse
comp_type,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,probability
DSG_DS,0,1_1,2_1,3_1,4_1,0.1,10_1,11_1,12_1,13_1,14_1,15_1,16_1,17_1,18_1,19_1,1_1.1,2_1.1,3_1.1,4_1.1,5_1,6_1,7_1,8_1,9_1, 
1,0.13180000000000006,0.4476,0.11939999999999995,0.024400000000000036,0.2768,1.0,0.0,0.10399999999999998,0.2794,0.5168,0.007999999999999993,0.07880000000000001,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3622,0.5112000000000001,0.111,0.0156,0.0,1.0,0.0,0.0,0.08179999999999997,0.3598,0.13880000000000006,0.17439999999999994,0.2422,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.2016,0.6182,0.1142,0.008200000000000006,0.0578,1.0,0.0,0.0,0.0041999999999999815,0.6802,0.3156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.12980000000000005,0.4264,0.11419999999999995,0.02839999999999998,0.3012,1.0,0.02200000000000002,0.16959999999999995,0.12580000000000002,0.3802,0.1358,0.1658,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.598,0.35440000000000005,0.0444,0.001,0.0022,0.027000000000000024,0.027000000000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10519999999999996,0.1848,0.22420000000000007,0.4588,0.0
6,0.17379999999999995,0.609,0.1252,0.010800000000000004,0.0812,0.9018,0.0,0.0,0.000399999999999956,0.061200000000000025,0.04180000000000006,0.6799999999999999,0.1184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0552,0.043,0.0
7,0.2338,0.5594,0.1848,0.02,0.002,0.244,0.04920000000000002,0.0,0.04620000000000002,0.14559999999999995,0.003000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000399999999999956,0.07140000000000002,0.12819999999999998,0.027800000000000047,0.5282,0.0
8,0.5539999999999999,0.3856,0.0548,0.0014000000000000002,0.0042,1.0,0.0,0.0,0.12739999999999996,0.3696,0.1744,0.3098,0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.354,0.5126000000000001,0.1172,0.0162,0.0,1.0,0.0,0.0,0.0202,0.14200000000000002,0.6954,0.0396,0.006400000000000003,0.0914,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.22340000000000004,0.4782,0.18,0.01680000000000001,0.1016,0.7964,0.057400000000000014,0.5294,0.1962,0.013399999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005999999999999893,0.10960000000000003,0.0934,0.0
11,0.536,0.3924,0.0668,0.0013999999999999998,0.0034,0.9082,0.0444,0.4464,0.3854,0.03199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002000000000000057,0.0574,0.0342,0.0
12,0.17979999999999996,0.6074,0.1336,0.0092,0.07,0.6412,0.035599999999999965,0.016800000000000037,0.5147999999999999,0.07400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014800000000000037,0.344,0.0
13,0.5724,0.3662,0.057400000000000014,0.0038,0.0002,1.0,0.0023999999999999573,0.4420000000000001,0.455,0.0007999999999999953,0.0392,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.20940000000000006,0.6228,0.1104,0.005199999999999996,0.0522,1.0,0.0,0.0,0.0,0.000199999999999978,0.13660000000000005,0.17359999999999998,0.4328,0.2564,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.14680000000000004,0.4434,0.11259999999999998,0.02280000000000004,0.2744,1.0,0.0,0.0,0.003000000000000003,0.4842,0.2212,0.2458,0.0458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.4506,0.444,0.0846,0.0048,0.016,1.0,0.0,0.0,0.024000000000000018,0.07299999999999995,0.02039999999999997,0.7478,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
