DV,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Impractical,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Time,Repair Time,Repair Time,Repair Time,Repair Time,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries,Injuries
comp_type,aggregate,aggregate,aggregate,aggregate,aggregate,probability,S,S,S,S,S,S,NS,NS,NS,NS,NS,NSA,NSA,NSA,NSA,NSA,NSD,NSD,NSD,NSD,NSD, , , , , ,sev1,sev1,sev1,sev1,sev1,sev2,sev2,sev2,sev2,sev2,sev3,sev3,sev3,sev3,sev3,sev4,sev4,sev4,sev4,sev4
DSG_DS, , , , , , ,aggregate,1_1,2_1,3_1,4_1,4_2,aggregate,1_1,2_1,3_1,4_1,aggregate,1_1,2_1,3_1,4_1,aggregate,1_1,2_1,3_1,4_1,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate,aggregate
stat,mean,std,10%,median,90%, ,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,std,10%,median,90%,mean,std,10%,median,90%,mean,std,10%,median,90%,mean,std,10%,median,90%,mean,std,10%,median,90%
1,0.0766,0.098587220267132,0.005,0.027000000000000003,0.1916,0.0,0.0,,,,,,0.0766,0.005,0.027000000000000003,0.08,0.266,0.0766,0.005,0.027000000000000003,0.08,0.266,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.06790000000000003,0.10501438591926347,0.0034500000000000004,0.027000000000000003,0.17692500000000005,0.0,0.00145,0.003625,,,,,0.06645000000000001,0.005,0.027000000000000003,,0.27325,0.06500000000000003,0.005,0.027000000000000003,,0.266,0.00145,0.007249999999999999,,,,0.58,0.7103520254071216,0.0,0.0,1.45,0.000145,0.00017758800635178038,0.0,0.0,0.0003625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.12327500000000002,0.12416358665083738,0.015975000000000003,0.030625000000000006,0.27542500000000003,0.0,0.002175,0.003625,,,,,0.1211,0.005,0.027000000000000003,,0.27325,0.1182,0.005,0.027000000000000003,,0.266,0.0029,0.007249999999999999,,,,0.8699999999999999,0.7103520254071216,0.0,1.45,1.45,0.0002175,0.00017758800635178038,0.0,0.0003625,0.0003625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0911,0.10353626780022544,0.010075,0.030625000000000006,0.2177,0.0,0.0029,0.004833333333333333,,,,,0.0882,0.008625,0.027000000000000003,0.1235,0.27325,0.07660000000000003,0.005,0.027000000000000003,0.08,0.266,0.0116,0.007249999999999999,0.0435,,,1.16,1.085080642164443,0.0,1.45,2.3200000000000003,0.00029,0.00027127016054111073,0.0,0.0003625,0.00058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.08865,0.09427295476434376,0.0079,0.08,0.1916,0.0,0.0,,,,,,0.08865,0.008625,,0.08,0.266,0.08720000000000001,0.005,,0.08,0.266,0.00145,0.007249999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.036050000000000006,0.032783246483531814,0.0107,0.027000000000000003,0.07195000000000001,0.0,0.0029,0.004833333333333333,,,,,0.03315,0.01225,0.051166666666666666,,,0.0172,0.005,0.02700000000000001,,,0.01595,0.007249999999999999,0.0725,,,1.16,1.085080642164443,0.0,1.45,2.3200000000000003,0.00029,0.00027127016054111073,0.0,0.0003625,0.00058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.050275,0.04010723126818904,0.010075,0.03425,0.09885,0.0,0.003625,0.006041666666666666,,,,,0.04665,0.008625,0.03425,0.090875,,0.0394,0.005,0.027000000000000003,0.08,,0.007249999999999999,0.0090625,,,,1.45,1.2969194269498778,0.0,1.45,2.9,0.0003625,0.0003242298567374695,0.0,0.0003625,0.000725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.10805,0.08188229356826786,0.048200000000000014,0.08,0.1945,0.0,0.0,,,,,,0.10805,,0.027000000000000003,0.08241666666666668,0.266,0.1066,,0.027000000000000003,0.08,0.266,0.00145,0.007249999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.029125000000000005,0.01298075498574717,0.013800000000000005,0.03425,0.04005,0.0,0.000725,0.003625,,,,,0.0284,0.005,0.03425,,,0.0226,0.005,0.027000000000000003,,,0.0058,0.009666666666666664,,,,0.29,0.5800000000000001,0.0,0.0,0.8700000000000001,7.25e-05,0.000145,0.0,0.0,0.00021750000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.151325,0.12904455625868144,0.032075000000000006,0.08,0.3124,0.0,0.002175,0.0054375,,,,,0.14915,,0.027000000000000003,0.08,0.305875,0.1332,,0.027000000000000003,0.08,0.266,0.01595,0.007249999999999999,0.0725,,,0.8699999999999999,1.16,0.0,0.0,2.3200000000000003,0.0002175,0.00028999999999999995,0.0,0.0,0.00058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0438,0.030629397643440526,0.013800000000000005,0.027000000000000003,0.08,0.0,0.0,,,,,,0.0438,0.005,0.027000000000000003,0.08,,0.0438,0.005,0.027000000000000003,0.08,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.054000000000000006,0.028037474921968283,0.027000000000000003,0.0415,0.0887,0.0,0.0,,,,,,0.054000000000000006,,0.03183333333333333,0.08725,,0.0482,,0.02700000000000001,0.08,,0.0058,0.0145,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.014525,0.010271440989461995,0.005,0.008625,0.027000000000000003,0.0,0.000725,0.003625,,,,,0.013800000000000002,0.005,0.027000000000000003,,,0.013800000000000002,0.005,0.027000000000000003,,,0.0,,,,,0.29,0.58,0.0,0.0,0.8700000000000001,7.25e-05,0.000145,0.0,0.0,0.00021750000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.144525,0.1011896857392096,0.048200000000000014,0.083625,0.266,0.0,0.000725,0.003625,,,,,0.1438,,0.027000000000000003,0.08,0.266,0.1438,,0.027000000000000003,0.08,0.266,0.0,,,,,0.29,0.5800000000000001,0.0,0.0,0.8700000000000001,7.25e-05,0.000145,0.0,0.0,0.00021750000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.09845,0.09682686223357648,0.028450000000000007,0.06687499999999999,0.20465000000000005,0.0,0.0029,0.004833333333333333,,,,,0.09555,,0.03908333333333333,0.08,0.2805,0.0854,,0.02700000000000001,0.08,0.266,0.01015,0.0145,0.03625,,,1.16,1.085080642164443,0.0,1.45,2.3200000000000003,0.00029,0.00027127016054111073,0.0,0.0003625,0.00058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.091425,0.04704609441813421,0.039325,0.0945,0.14525,0.0,0.003625,0.006041666666666666,,,,,0.08779999999999999,,0.037875000000000006,0.12108333333333332,,0.05880000000000001,,0.027000000000000003,0.08,,0.029000000000000005,0.009666666666666664,0.058,,,1.45,1.2969194269498778,0.0,1.45,2.9,0.0003625,0.0003242298567374695,0.0,0.0003625,0.000725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.1544,0.09112101843153424,0.08,0.08,0.266,0.0,0.0,,,,,,0.1544,,,0.08,0.266,0.1544,,,0.08,0.266,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.086475,0.0933870440692926,0.0165,0.045125,0.1945,0.0,0.002175,0.0054375,,,,,0.08430000000000001,0.017,0.0415,0.08,0.266,0.07560000000000001,0.005,0.027000000000000003,0.08,0.266,0.0087,0.0145,,,,0.8699999999999999,1.16,0.0,0.0,2.3200000000000003,0.0002175,0.00028999999999999995,0.0,0.0,0.00058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.027750000000000004,0.02810827280357155,0.0059,0.01225,0.06170000000000001,0.0,0.00145,0.007249999999999999,,,,,0.0263,0.00816666666666667,0.027000000000000003,0.08,,0.0234,0.005,0.027000000000000003,0.08,,0.0029,0.007249999999999999,,,,0.58,1.16,0.0,0.0,1.7400000000000002,0.000145,0.00029,0.0,0.0,0.0004350000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
