DV,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Cost,Repair Impractical
comp_type,aggregate,aggregate,aggregate,aggregate,aggregate,probability
DSG_DS, , , , , , 
stat,mean,std,10%,median,90%, 
1,51.674037830370615,31.125156859612943,23.44095160698559,31.36359086924329,100.0,0.2768
2,35.70378122147112,5.414766158386084,29.99999999999999,34.76050733856777,42.49042899758899,0.0
3,38.2725884473557,17.062183920350414,28.0,32.057354889690096,44.677766574083996,0.0578
4,53.91285103443637,31.554315784685308,25.99999999999999,39.13495749359598,100.0,0.3012
5,17.487533751801266,6.8732611345023225,7.765881991182407,15.680269258158072,23.59465652513371,0.0022
6,45.370678864917686,18.923298223341924,32.057354889690096,41.773645909121626,53.511580159157496,0.0898
7,23.241619882817808,7.302579011200807,14.000000000000016,25.44451139413511,33.25958502928005,0.002
8,47.38349873962555,4.7933840013911615,44.0,46.00000000000002,52.12013667822615,0.0042
9,34.421257986383516,4.576287890994681,30.000000000000018,34.76050733856777,42.000000000000014,0.0
10,33.833638285575105,22.986247976561,18.887984754415488,26.638933162371536,100.0,0.1016
11,41.57041621998247,8.89029608368382,25.490924968792385,41.99999999999999,48.31596357687845,0.0034
12,33.37779044068296,20.135085602945942,22.000000000000032,26.227580278031212,39.377478423039925,0.07
13,43.918269298044414,3.615294391844954,40.00000000000002,41.99999999999999,47.87427267794129,0.0002
14,45.56422210203436,14.476103596445546,34.000613093576426,41.77364590912164,53.511580159157496,0.057
15,53.87525442307725,29.50975159170383,29.382931053678867,39.28623013150104,100.0,0.2744
16,48.93064288146455,6.923106178860219,45.99999999999999,48.21567177241414,50.14928907108546,0.016
17,46.01297616246538,2.968573887668522,41.99999999999999,44.00000000000002,49.7832065574391,0.0
18,16.75530231075945,3.8678471617165635,13.232328076498716,15.216828181800453,23.154828603007225,0.0
19,48.96596518724591,32.835758448404896,23.44095160698559,27.40227123811441,100.0,0.2798
20,31.158790561826766,5.359807294623833,25.444511394135144,30.000000000000018,33.259585029280075,0.002
