type,PFA,PFA,PFA,PFA,PFA,PFA,PFA,PFA,PID,PID,PID,PID
loc,0,0,0,0,1,1,1,1,1,1,1,1
dir,1,1,2,2,1,1,2,2,1,1,2,2
stat,median,beta,median,beta,median,beta,median,beta,median,beta,median,beta
1,141.097,0.199749331936861,136.972,0.26159704860592325,412.267,0.3689067092818622,271.872,0.4675055669073214,0.00105633,0.4186167860756997,0.0006980389999999999,0.5784022941837268
2,131.247,0.4175448180418805,155.204,0.20283668507914568,176.59,0.4337498687956456,157.04,0.2691536257751124,0.00287297,0.4355512490436657,0.00255504,0.2712436832366108
3,144.195,0.3556909851130682,138.769,0.14200186407081142,446.805,0.37406788320556,317.6,0.232094515864188,0.00278474,0.42430956257276864,0.00198152,0.3651330947055237
4,141.43,0.2621121131463965,149.726,0.13936603018873167,252.456,0.20223535336029075,358.745,0.4682999285137096,0.00248399,0.20078394541079414,0.00353105,0.4664649292002271
5,127.76799999999999,0.1933699100399082,162.64700000000005,0.22228311460245634,373.093,0.2695036478790295,361.592,0.21513981161420967,0.0018780000000000001,0.2699071050235337,0.00181748,0.2155059270390112
6,182.01400000000004,0.1878891925155105,160.911,0.19737203237767328,292.335,0.48771266468706703,292.813,0.2930718377890685,0.00389908,0.4877100061602449,0.00390263,0.2931719410768729
7,130.996,0.3926228335954007,145.494,0.09229922720084753,267.488,0.237269603979,146.707,0.3405650974061709,0.00382051,0.2371602524305522,0.00209569,0.3414405710280442
8,130.996,0.3926228335954007,145.494,0.09229922720084753,416.75300000000004,0.12180918060252133,417.148,0.07443597424038638,0.00205192,0.3104238725586141,0.00182858,0.13467088219923146
9,143.016,0.24358377366199915,163.14200000000002,0.2019342858851748,405.908,0.35204871925623343,322.71,0.08340885973141009,0.00227816,0.3537066848027953,0.00181325,0.083987554229959
10,183.49,0.18755333115184367,160.376,0.13276066086178542,488.46,0.23272021112520425,346.295,0.38094421218731933,0.00606391,0.2332570737380188,0.00429183,0.3818933891243802
11,146.18,0.18278485835299355,160.911,0.1991058705931532,331.755,0.2799965748805636,484.579,0.32562150845640137,0.0014824999999999999,0.2803097978527769,0.0021631,0.3249379345839239
12,130.996,0.3926228335954007,145.494,0.09229922720084753,254.428,0.28072218931094045,288.997,0.3930704970844931,0.00271677,0.2812514879339413,0.0030816,0.3928937764199453
13,143.016,0.3786819120652951,175.497,0.12506807756500646,289.259,0.12209314196371647,311.926,0.2268268415312083,0.00199303,0.12220673894617105,0.00215043,0.2271012433659633
14,143.016,0.3895371771421967,131.827,0.2150120977551468,425.28600000000006,0.18182010821614525,473.92900000000003,0.1144372496639498,0.0012720000000000001,0.1819342336642664,0.00141906,0.11431467535648035
15,182.01400000000004,0.3608990379206519,147.194,0.2253981063223195,389.17800000000005,0.3543220031783357,428.847,0.3687617252701749,0.00448564,0.3545767941681689,0.00494268,0.3692013703541936
16,157.774,0.3836750491797111,130.084,0.19764143187735794,287.992,0.5030060338225658,378.276,0.4394897070740103,0.00439757,0.5081468202869077,0.005776399999999999,0.43938961960039613
17,131.71,0.3920062442871513,150.631,0.09242281539618902,455.541,0.13776975495264546,454.36,0.2490103895868422,0.00176016,0.2861092987848653,0.00161805,0.26566745390451
18,143.016,0.4079243417920144,160.911,0.14065793137491145,297.425,0.22852660788272866,307.39,0.25192434465967034,0.00225423,0.2287664511405949,0.00233144,0.2520961518809855
19,137.914,0.4224669047258293,131.827,0.2054938432485909,249.41099999999997,0.2679721569521585,409.027,0.2668373210824858,0.0020721,0.28311021269960546,0.00360748,0.31569408537266186
