type,FWD,FWD,PWS,PWS
loc,1,1,1,1
dir,1,1,1,1
stat,median,beta,median,beta
1,8.225099999999998,0.10752438826522986,101.68,0.0015953462953481874
2,10.058,0.13049583215381486,100.54,8.88267250866992e-16
3,8.836,4.44133625433496e-16,100.54,8.88267250866992e-16
4,8.225099999999998,0.15691122836794946,102.27,0.0
5,3.9485,0.3179051915983189,102.27,0.0
6,10.669,0.2951379187180969,102.27,0.0
7,4.5595,0.42950255783800906,102.27,0.0
8,10.058,0.10762581604123418,102.27,0.0
9,9.4469,0.09854679237809824,100.54,0.00021139399188185612
10,6.3923,0.21909706937123827,102.27,0.0
11,7.0032,0.17821584780807276,102.27,0.0
12,7.6141,0.2506359538273619,102.27,0.0
13,7.0032,0.10851459635385508,101.87999999999998,0.0
14,11.890999999999998,0.07732474893386784,100.54,8.88267250866992e-16
15,8.836,0.0860439700924928,101.04,0.0009026049623865203
16,10.669,0.0772137889056351,101.11,0.001668504359737387
17,8.225099999999998,0.0749705372877345,100.54,8.88267250866992e-16
18,3.3376,0.14377526005530392,102.27,0.0
19,7.0032,0.0,101.87999999999998,0.0
20,9.4469,0.18249880706081664,102.27,0.0
