sta lon lat
1001.csv -74.55 39.2972
1002.csv -74.55 39.3004
1003.csv -74.55 39.3036
1004.csv -74.55 39.3068
1005.csv -74.55 39.3099
1006.csv -74.55 39.3131
1007.csv -74.55 39.3163
1008.csv -74.55 39.3195
1009.csv -74.55 39.3227
1010.csv -74.55 39.3259
1011.csv -74.55 39.329
1012.csv -74.55 39.3322
1013.csv -74.55 39.3354
1014.csv -74.55 39.3386
1015.csv -74.55 39.3418
1016.csv -74.55 39.345
1017.csv -74.55 39.3481
1018.csv -74.55 39.3513
1019.csv -74.55 39.3545
1020.csv -74.55 39.3577
1021.csv -74.55 39.3609
1022.csv -74.55 39.3641
1023.csv -74.55 39.3672
1024.csv -74.55 39.3704
1025.csv -74.55 39.3736
1026.csv -74.55 39.3768
1027.csv -74.55 39.38
1028.csv -74.55 39.3832
1029.csv -74.55 39.3863
1030.csv -74.55 39.3895
1031.csv -74.55 39.3927
1032.csv -74.55 39.3959
1033.csv -74.55 39.3991
1034.csv -74.55 39.4023
1035.csv -74.55 39.4054
1036.csv -74.55 39.4086
1037.csv -74.55 39.4118
1038.csv -74.55 39.415
1039.csv -74.55 39.4182
1040.csv -74.55 39.4214
1041.csv -74.55 39.4245
1042.csv -74.55 39.4277
1043.csv -74.55 39.4309
1044.csv -74.55 39.4341
1045.csv -74.55 39.4373
1046.csv -74.55 39.4405
1047.csv -74.55 39.4436
1048.csv -74.55 39.4468
1049.csv -74.55 39.45
1050.csv -74.55 39.4532
1051.csv -74.5454 39.2972
1052.csv -74.5454 39.3004
1053.csv -74.5454 39.3036
1054.csv -74.5454 39.3068
1055.csv -74.5454 39.3099
1056.csv -74.5454 39.3131
1057.csv -74.5454 39.3163
1058.csv -74.5454 39.3195
1059.csv -74.5454 39.3227
1060.csv -74.5454 39.3259
1061.csv -74.5454 39.329
1062.csv -74.5454 39.3322
1063.csv -74.5454 39.3354
1064.csv -74.5454 39.3386
1065.csv -74.5454 39.3418
1066.csv -74.5454 39.345
1067.csv -74.5454 39.3481
1068.csv -74.5454 39.3513
1069.csv -74.5454 39.3545
1070.csv -74.5454 39.3577
1071.csv -74.5454 39.3609
1072.csv -74.5454 39.3641
1073.csv -74.5454 39.3672
1074.csv -74.5454 39.3704
1075.csv -74.5454 39.3736
1076.csv -74.5454 39.3768
1077.csv -74.5454 39.38
1078.csv -74.5454 39.3832
1079.csv -74.5454 39.3863
1080.csv -74.5454 39.3895
1081.csv -74.5454 39.3927
1082.csv -74.5454 39.3959
1083.csv -74.5454 39.3991
1084.csv -74.5454 39.4023
1085.csv -74.5454 39.4054
1086.csv -74.5454 39.4086
1087.csv -74.5454 39.4118
1088.csv -74.5454 39.415
1089.csv -74.5454 39.4182
1090.csv -74.5454 39.4214
1091.csv -74.5454 39.4245
1092.csv -74.5454 39.4277
1093.csv -74.5454 39.4309
1094.csv -74.5454 39.4341
1095.csv -74.5454 39.4373
1096.csv -74.5454 39.4405
1097.csv -74.5454 39.4436
1098.csv -74.5454 39.4468
1099.csv -74.5454 39.45
1100.csv -74.5454 39.4532
1101.csv -74.5408 39.2972
1102.csv -74.5408 39.3004
1103.csv -74.5408 39.3036
1104.csv -74.5408 39.3068
1105.csv -74.5408 39.3099
1106.csv -74.5408 39.3131
1107.csv -74.5408 39.3163
1108.csv -74.5408 39.3195
1109.csv -74.5408 39.3227
1110.csv -74.5408 39.3259
1111.csv -74.5408 39.329
1112.csv -74.5408 39.3322
1113.csv -74.5408 39.3354
1114.csv -74.5408 39.3386
1115.csv -74.5408 39.3418
1116.csv -74.5408 39.345
1117.csv -74.5408 39.3481
1118.csv -74.5408 39.3513
1119.csv -74.5408 39.3545
1120.csv -74.5408 39.3577
1121.csv -74.5408 39.3609
1122.csv -74.5408 39.3641
1123.csv -74.5408 39.3672
1124.csv -74.5408 39.3704
1125.csv -74.5408 39.3736
1126.csv -74.5408 39.3768
1127.csv -74.5408 39.38
1128.csv -74.5408 39.3832
1129.csv -74.5408 39.3863
1130.csv -74.5408 39.3895
1131.csv -74.5408 39.3927
1132.csv -74.5408 39.3959
1133.csv -74.5408 39.3991
1134.csv -74.5408 39.4023
1135.csv -74.5408 39.4054
1136.csv -74.5408 39.4086
1137.csv -74.5408 39.4118
1138.csv -74.5408 39.415
1139.csv -74.5408 39.4182
1140.csv -74.5408 39.4214
1141.csv -74.5408 39.4245
1142.csv -74.5408 39.4277
1143.csv -74.5408 39.4309
1144.csv -74.5408 39.4341
1145.csv -74.5408 39.4373
1146.csv -74.5408 39.4405
1147.csv -74.5408 39.4436
1148.csv -74.5408 39.4468
1149.csv -74.5408 39.45
1150.csv -74.5408 39.4532
1151.csv -74.5362 39.2972
1152.csv -74.5362 39.3004
1153.csv -74.5362 39.3036
1154.csv -74.5362 39.3068
1155.csv -74.5362 39.3099
1156.csv -74.5362 39.3131
1157.csv -74.5362 39.3163
1158.csv -74.5362 39.3195
1159.csv -74.5362 39.3227
1160.csv -74.5362 39.3259
1161.csv -74.5362 39.329
1162.csv -74.5362 39.3322
1163.csv -74.5362 39.3354
1164.csv -74.5362 39.3386
1165.csv -74.5362 39.3418
1166.csv -74.5362 39.345
1167.csv -74.5362 39.3481
1168.csv -74.5362 39.3513
1169.csv -74.5362 39.3545
1170.csv -74.5362 39.3577
1171.csv -74.5362 39.3609
1172.csv -74.5362 39.3641
1173.csv -74.5362 39.3672
1174.csv -74.5362 39.3704
1175.csv -74.5362 39.3736
1176.csv -74.5362 39.3768
1177.csv -74.5362 39.38
1178.csv -74.5362 39.3832
1179.csv -74.5362 39.3863
1180.csv -74.5362 39.3895
1181.csv -74.5362 39.3927
1182.csv -74.5362 39.3959
1183.csv -74.5362 39.3991
1184.csv -74.5362 39.4023
1185.csv -74.5362 39.4054
1186.csv -74.5362 39.4086
1187.csv -74.5362 39.4118
1188.csv -74.5362 39.415
1189.csv -74.5362 39.4182
1190.csv -74.5362 39.4214
1191.csv -74.5362 39.4245
1192.csv -74.5362 39.4277
1193.csv -74.5362 39.4309
1194.csv -74.5362 39.4341
1195.csv -74.5362 39.4373
1196.csv -74.5362 39.4405
1197.csv -74.5362 39.4436
1198.csv -74.5362 39.4468
1199.csv -74.5362 39.45
1200.csv -74.5362 39.4532
1201.csv -74.5316 39.2972
1202.csv -74.5316 39.3004
1203.csv -74.5316 39.3036
1204.csv -74.5316 39.3068
1205.csv -74.5316 39.3099
1206.csv -74.5316 39.3131
1207.csv -74.5316 39.3163
1208.csv -74.5316 39.3195
1209.csv -74.5316 39.3227
1210.csv -74.5316 39.3259
1211.csv -74.5316 39.329
1212.csv -74.5316 39.3322
1213.csv -74.5316 39.3354
1214.csv -74.5316 39.3386
1215.csv -74.5316 39.3418
1216.csv -74.5316 39.345
1217.csv -74.5316 39.3481
1218.csv -74.5316 39.3513
1219.csv -74.5316 39.3545
1220.csv -74.5316 39.3577
1221.csv -74.5316 39.3609
1222.csv -74.5316 39.3641
1223.csv -74.5316 39.3672
1224.csv -74.5316 39.3704
1225.csv -74.5316 39.3736
1226.csv -74.5316 39.3768
1227.csv -74.5316 39.38
1228.csv -74.5316 39.3832
1229.csv -74.5316 39.3863
1230.csv -74.5316 39.3895
1231.csv -74.5316 39.3927
1232.csv -74.5316 39.3959
1233.csv -74.5316 39.3991
1234.csv -74.5316 39.4023
1235.csv -74.5316 39.4054
1236.csv -74.5316 39.4086
1237.csv -74.5316 39.4118
1238.csv -74.5316 39.415
1239.csv -74.5316 39.4182
1240.csv -74.5316 39.4214
1241.csv -74.5316 39.4245
1242.csv -74.5316 39.4277
1243.csv -74.5316 39.4309
1244.csv -74.5316 39.4341
1245.csv -74.5316 39.4373
1246.csv -74.5316 39.4405
1247.csv -74.5316 39.4436
1248.csv -74.5316 39.4468
1249.csv -74.5316 39.45
1250.csv -74.5316 39.4532
1251.csv -74.527 39.2972
1252.csv -74.527 39.3004
1253.csv -74.527 39.3036
1254.csv -74.527 39.3068
1255.csv -74.527 39.3099
