type,PGA,PGA,PGA,PGA
loc,0,0,0,0
dir,1,1,2,2
stat,median,beta,median,beta
0,0.6628029999999999,0.13600449843043236,0.736927,0.1275636943053479
1,0.633193,0.20304404095647471,0.717512,0.24904764429936244
2,0.721433,0.38880051595831655,0.715938,0.3514059337674102
3,0.713946,0.14054739273872968,0.764877,0.3915961386798949
4,0.743542,0.2171580362193277,0.49029799999999996,0.2407229856374786
5,0.6505810000000001,0.15337053057961506,0.56929,0.19106712482954594
6,0.667912,0.0821461264634056,0.76647,0.2854761912873225
7,0.8115100000000001,0.3580416351456673,0.7321770000000001,0.10374091963523832
8,0.5919449999999999,0.484515336289696,0.767825,0.2795311183002603
9,0.8206610000000001,0.169420903616953,0.679726,0.31719489352530283
10,0.6627770000000001,0.1160975874275244,0.623636,0.1383857442038908
11,0.664215,0.3068794966334912,0.681191,0.17780768288420262
12,0.7623260000000001,0.3342121915707141,0.709516,0.10729744618054217
13,0.540041,0.2794970883918737,0.702222,0.07850396436049084
14,0.628897,0.3682471518218779,0.6626449999999999,0.08292658813669537
15,0.63932,0.3279279372030125,0.574796,0.2115260225991987
16,0.74392,0.3603316789411304,0.690448,0.21550453311227016
17,0.8111510000000001,0.2871611406223856,0.714084,0.20898183490987293
18,0.6592899999999999,0.3766289667049084,0.742772,0.11470562563412998
19,0.67061,0.17423255167006754,0.740329,0.3700796708017528
