REC, "Recovery (REC) Modeling", , ,
REC.1, "Building Recovery",,,
REC.1.1, "Incorporate advanced methods for building recovery time estimation", SP,M,
REC.2, "Housing and Community Recovery",,,
REC.2.1, "Incorporate modeling of the recovery of households and communities",SP,M,
REC.3, "Infrastructure Recovery",,,
REC.3.1, "Incorporate modeling of the recovery of transportation networks",SP,M,
REC.3.2, "Incorporate modeling of the recovery of buried pipeline networks",SP,M,
REC.3.3, "Incorporate modeling of the recovery of power networks",SP,M,
REC.4, "Business Recovery",,,
REC.4.1, "Incorporate modeling of the recovery of businesses",SP,M,
REC.4.2, "Ability to incorporate improved indirect economic loss estimation models", GC , M ,
REC.4.3, "Ability to include demand surge in determination of losses", GC , M
REC.5, "Interdependencies",,,
REC.5.1, "Implement a framework to model interdependencies between the recovery of various systems",SP,M,
REC.5.2, "Ability to include lifeline disruptions", GC , M ,
REC.6, "Metrics of recovery",,,
REC.6.1, "Implement metrics to inform recovery and community resilience based on the outputs of the available recovery models",SP,M,




