"CR.1", "Open-source software where developers can test new data and develop algorithms", "-", "-", "-", "-", "-", "-"
"CR.1.1", "Provide open-source applications utilizing code hosting platforms, e.g. GitHub","SP", "M", "Implemented", "https://github.com/NHERI-SimCenter/quoFEM", "https://github.com/NHERI-SimCenter/WE-UQ", "https://github.com/NHERI-SimCenter/EE-UQ", "https://github.com/NHERI-SimCenter/PBE", "https://github.com/NHERI-SimCenter/R2DTool"
"CR.1.2", "Assign an open-source licensce that allows free use.","SP", "M", "Implemented", "https://github.com/NHERI-SimCenter/quoFEM/blob/master/LICENSE", "https://github.com/NHERI-SimCenter/WE-UQ/blob/master/LICENSE", "https://github.com/NHERI-SimCenter/EE-UQ/blob/master/LICENSE", "https://github.com/NHERI-SimCenter/R2DTool/blob/master/LICENSE", "https://github.com/NHERI-SimCenter/PBE/blob/master/LICENSE"
"CR.2", "Ability of Practicing Engineers to use multiple coupled resources (applications, databases, viz tools) in engineering practice", "-", "-", "-", "-", "-", "-"
"CR.2.1", "Allow users to launch scientific workflows","SP", "M", "Implemented", "-", "-", "-"
"CR.3", "Ability to utilize resources beyond the desktop including HPC", "-", "-", "-", "-", "-", "-"
"CR.3.1", "Allow users to utilize HPC resources at TACC through DesignSafe","SP", "M", "Implemented", "-", "-", "-"
"CR.4", "Efficient use of multiple coupled and linked models requiring sharing and inter-operability of databases, computing environments, networks, visualization tools, and analysis systems", "-", "-", "-", "-", "-", "-"
"CR.4.1", "Identify and include external analysis systems","SP", "M", "InProgress", "-", "-", "-"
"CR.4.2", "Identify and include external databases","SP", "M", "InProgress", "-", "-", "-"
"CR.4.3", "Identify and include external viz tools","SP", "M", "InProgress", "-", "-", "-"
"CR.4.4", "Identify and include external computing env","SP", "M", "Inprogress", "-", "-", "-"
"CR.5", "Tool available for download from web", "-", "-", "-", "-", "-", "-"
"CR.5.1", "Tool downloadable from DesignSafe website","GC", "M", "Implemented", "https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community//SimCenter/Software/quoFEM", "https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community//SimCenter/Software/WE_UQ", "https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community//SimCenter/Software/EE_UQ", "https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community/%2FSimCenter%2FSoftware%2FPBE", "https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community/SimCenter/Software/R2Dt"
"CR.6", "Ability to benefit from programs that move research results into practice and obtain training", "-", "-", "-", "-", "-", "-"
"CR.6.1", "Ability to use educational provisions to gain interdisclipinary education so as to gain expertise in earth sciences and physics, engineering mechanics, geotechnical engineering, and structural engineering in order to be qualified to perform these simulations","GC", "D", "-", "-", "-", "-"
"CR.6.2", "Documentation exists demonstrainting application usage","SP", "M", "Implemented", "-", "-", "-"
"CR.6.3", "Video Exists demonstrating application usage","SP", "M", "Implemented", "-", "-", "-"
"CR.6.4", "Tool Training through online and in person training events","SP", "M", "Implemented", "-", "-", "-"
"CR.7", "Verification Examples Exist","SP", "M", "Implemented", "-", "-", "-"
"CR.8", "validation of proposed analytical models against existing empirical datasets", "-", "-", "-", "-", "-", "-"
"CR.8.1", "Validation Examples Exist, validated against tests or other software","GC", "M", "-", "-", "-", "-"
