**CR.1**, **Open-source software where developers can test new data and develop algorithms**, , , , , , , , , , , , , 
CR.1.1, "Provide open-source applications utilizing code hosting platforms, e.g. GitHub", SP, M, Implemented, `quoFEM <https://github.com/NHERI-SimCenter/quoFEM>`_, `EE-UQ <https://github.com/NHERI-SimCenter/EE-UQ>`_, `WE-UQ <https://github.com/NHERI-SimCenter/WE-UQ>`_, `PBE <https://github.com/NHERI-SimCenter/PBE>`_, `R2D <https://github.com/NHERI-SimCenter/R2DTool>`_, _, , , ,
CR.1.2, Assign an open-source license that allows free use, SP, M, Implemented, `quoFEM <https://github.com/NHERI-SimCenter/quoFEM/blob/master/LICENSE>`_, `EE-UQ <https://github.com/NHERI-SimCenter/EE-UQ/blob/master/LICENSE>`_, `WE-UQ <https://github.com/NHERI-SimCenter/WE-UQ/blob/master/LICENSE>`_, `PBE <https://github.com/NHERI-SimCenter/PBE/blob/master/LICENSE>`_, `R2D <https://github.com/NHERI-SimCenter/R2DTool/blob/master/LICENSE>`_, _, , , , 
**CR.2**, "**Ability to use multiple coupled resources (applications, databases, viz tools) by Practicing Engineers**", , , , , , , , , , , , ,
CR.2.1, Allow users to launch scientific workflows, SP, M, Implemented, _, _, _, _, _, _, , , , 
**CR.3**, **Ability to utilize resources beyond the desktop including HPC**, , , , , , , , , , , , , 
CR.3.1, Allow users to utilize HPC resources at TACC through DesignSafe, SP, M, Implemented, _, _, _, _, _, _, , , , 
**CR.4**, "**Efficient use of multiple coupled and linked models requiring sharing and inter-operability of databases, computing environments, networks, visualization tools, and analysis systems**", , , , , , , , , , , , ,
CR.4.1, Identify and include external analysis systems, SP, M, InProgress, _, _, _, _, _, _, , , , 
CR.4.2, Identify and include external databases, SP, M, InProgress, _, _, _, _, _, _, , , , 
CR.4.3, Identify and include external viz tools, SP, M, InProgress, _, _, _, _, _, _, , , , 
CR.4.4, Identify and include external computing env, SP, M, Inprogress, _, _, _, _, _, _, , , , 
**CR.5**, **Tool available for download from web**, , , , , , , , , , , , , 
CR.5.1, Tool downloadable from DesignSafe website, GC, M, Implemented, `quoFEM <https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community//SimCenter/Software/quoFEM>`_, `EE-UQ <https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community//SimCenter/Software/EE_UQ>`_, `WE-UQ <https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community//SimCenter/Software/WE_UQ>`_, `PBE <https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community/%2FSimCenter%2FSoftware%2FPBE>`_, `R2D <https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community/SimCenter/Software/R2Dt>`_, _, , , , 
**CR.6**, **Ability to benefit from programs that move research results into practice and obtain training**, , , , , , , , , , , , , 
CR.6.1, "Ability to use educational provisions to gain interdisciplinary education for expertise in earth sciences and physics, engineering mechanics, geotechnical engineering, and structural engineering to be qualified to perform these simulations", GC, D, _, _, _, _, _, _, _, 
CR.6.2, Documentation exists demonstrating application usage, SP, M, Implemented, _, _, _, _, _, _, , , , 
CR.6.3, Video Exists demonstrating application usage, SP, M, Implemented, _, _, _, _, _, _, , , , 
CR.6.4, Tool Training through online and in-person training events, SP, M, Implemented, _, _, _, _, _, _, , , , 
CR.7, Verification Examples Exist, SP, M, Implemented, _, _, _, _, _, _, , , , 
**CR.8**, **Validation of proposed analytical models against existing empirical datasets**, , , , , , , , , , , , , 
CR.8.1, "Validation Examples Exist, validated against tests or other software", GC, M, _, `quoFEM <https://NHERI-SimCenter.github.io/quoFEM-Documentation/common/developer_manual/verification/desktop/verification.html>`_, `EE-UQ <https://NHERI-SimCenter.github.io/EE-UQ-Documentation/common/developer_manual/verification/desktop/verification.html>`_, `WE-UQ <https://NHERI-SimCenter.github.io/WE-UQ-Documentation/common/developer_manual/verification/desktop/verification.html>`_, `PBE <https://NHERI-SimCenter.github.io/PBE-Documentation/common/developer_manual/verification/desktop/verification.html>`_, `R2D <https://NHERI-SimCenter.github.io/R2D-Documentation/common/developer_manual/verification/desktop/verification.html>`_, _, , , 
CR.9, Tool to allow users to load and save user inputs, SP, M, Implemented, **core**, **core**, _, **core**, **core**, _, , , , 
CR.10, Installer which installs application and all needed software, UF, D, _, `quoFEM <https://NHERI-SimCenter.github.io/quoFEM-Documentation/common/user_manual/installation/desktop/installation.html>`_, `EE-UQ <https://NHERI-SimCenter.github.io/EE-UQ-Documentation/common/user_manual/installation/desktop/installation.html>`_, `WE-UQ <https://NHERI-SimCenter.github.io/WE-UQ-Documentation/common/user_manual/installation/desktop/installation.html>`_, `PBE <https://NHERI-SimCenter.github.io/PBE-Documentation/common/user_manual/installation/desktop/installation.html>`_, `R2D <https://NHERI-SimCenter.github.io/R2D-Documentation/common/user_manual/installation/desktop/installation.html>`_, _, , , , 
