**EL.1**, **Regional Scale Earthquake Hazard Simulation Options**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
**EL.1.1**, **Coupling of multi-scale nonlinear models from the point of rupture through rock and soil into structure**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
EL.1.1.1, Replacement of empirical linear models with multi-scale nonlinear models, GC, D, _, _, _, _, _, _, _, , 
EL.1.1.2, Include both multi-scale and multi-phase (account for liquefaction), GC, M, _, _, _, _, _, _, _, , 
EL.1.1.3, Interface between asset and regional simulations using site response method, SP, M, InProgress, _, _, _, _, _, _, , 
EL.1.1.4, Interface between asset and regional simulations using DRM method, SP, M, _, _, _, _, _, _, _, , 
EL.1.2, Method to include both the intra-event residual and inter-event residual in simulating spatial correlated ground motion intensity measures with multiple correlation model options. Select site-specific ground motions from PEER to match target intensity, SP, M, Implemented, _, _, _, _, _, _, , 
EL.1.3, Use GIS-Specified Matrix of Recorded Motions, SP, M, Implemented, _, _, _, _, _, _, , 
**EL.2**, **Select from Multiple Local Scale Earthquake Hazard Options**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
**EL.2.1**, **Coupling of multi-scale nonlinear models from the point of rupture through rock and soil into structure**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
EL.2.1.1, Select using default selection options, SP, D, Implemented, _, _, _, _, _, _, , 
EL.2.1.2, Select using all options available at PEER site, UF, D, Implemented, _, _, _, _, _, _, , 
EL.2.1.3, Select using user-supplied spectrum, UF, D, Implemented, _, _, _, _, _, _, , 
EL.2.2, Ability to select utilizing PEER NGA_West web service, SP, D, Implemented, _, _, _, _, _, _, , 
EL.2.3, Ability to select from a list of user-supplied PEER motions, SP, M, Implemented, _, _, _, _, _, _, , 
EL.2.4, Ability to select from a list of SimCenter motions, SP, M, Implemented, _, _, _, _, _, _, , 
EL.2.5, Ability to use OpenSHA and selection methods to generate motions, UF, D, _, _, _, _, _, _, _, , 
EL.2.6, Ability to Utilize Own Application in Workflow, SP, M, Implemented, _, _, _, _, _, _, , 
**EL.2.7**, **Ability to use Broadband**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
EL.2.7.1, 1D nonlinear site response with effective stress analysis, SP, M, Implemented, _, _, _, _, _, _, , 
EL.2.7.2, Nonlinear site response with bidirectional loading, SP, M, Implemented, _, _, _, _, _, _, , 
EL.2.7.3, Nonlinear site response with full stochastic characterization of soil layers, SP, M, Implemented, _, _, _, _, _, _, _, 
EL.2.7.4, "Nonlinear site response, bidirectional different input motions", SP, M, _, _, _, _, _, _, _, , 
**EL.2.8**, **Ability to include Soil-Structure Interaction Effects**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, _, _
EL.2.8.1, "per Vlachos, Papakonstantinou, Deodatis (2017)", SP, D, Implemented, _, _, _, _, _, 
EL.2.8.2, "per Dabaghi, Der Kiureghian (2017)", UF, D, Implemented, _, _, _, _, _, , 
EL.2.9, Ability to select from synthetic ground motions, SP, M, Implemented, _, _, _, _, _, _, , 
EL.2.10, Ability to select surrogate modeling events, SP, M, Implemented, _, _, _, _, _, _, , 
