**BE.1**, **Ability to use cumulative knowledge bases rather than the piecemeal individual approaches**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
BE.1.1, Utilize Federated Databases to maintain individual databases & data sources yet provide central database resource, SP, M, _, N/A, N/A, N/A, N/A, N/A, _, , , ,
**BE.2**, **Include National building model inventories**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, _, , ,
BE.2.1, "Incorporate Building data from existing datasets published by states, counties and cities", SP, M, InProgress, N/A, N/A, N/A, N/A, N/A, _, _, ,
BE.2.2, "Ingest building data from web-scraping techniques, e.g. from Zillow, county websites", SP, M, InProgress, N/A, N/A, N/A, N/A, N/A, , ,
BE.2.3, Ingest building data using AI/ML techniques and satellite and street view images, SP, M, InProgress, N/A, N/A, N/A, N/A, N/A, _, , , ,
**BE.3**, **Incorporate transportation network data from existing datasets made avail through www**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
BE.3.1, Ingest additionally needed transportation network data utilizing AI/ML and satellite and street view images, SP, M, _, N/A, N/A, N/A, N/A, N/A, _, , , ,
**BE.4**, **Include National Models of Utility Networks**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
BE.4.1, Incorporate utility network data from existing datasets made avail through www, SP, M, _, N/A, N/A, N/A, N/A, N/A, _, _, , ,
BR.1, "Need for scalable tools that autonomously create an accurate database of all infrastructure components, including points of inter-dependency with other infrastructure components", GC, M, InProgress, N/A, _, _, _, _, , , ,
BR.2, Promote living community risk models utilizing local inventory data from various sources, GC, M, InProgress, N/A, _, _, _, _, _, _, , ,
BR.3, "Developing and sharing standardized definitions, measurement protocols and strategies for data collection", GC, M, _, N/A, _, _, _, _, **_**, **_**, ,
**BR.4**, "**Developing tools that utilize GIS information and online images, e.g. google maps, for data collection for gathering Building Information**", **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
BR.4.1, Develop Framework for creating asset inventories, SP, M, Implemented, N/A, _, _, _, _, _, , , ,
BR.4.2, Create workflow application for building inventory from framework modules, SP, M, Implemented, N/A, _, _, _, _, _, , , ,
BR.4.3, Create workflow application for transportation network from framework modules, SP, M, _, N/A, _, _, _, _, _, , , ,
**BR.5**, **Developing Modules for Asset Inventory Workflows identified in BR.4**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
