**BE.1**, **Ability to use cumulative knowledge bases rather than the piecemeal individual approaches**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
BE.1.1, Utilize Federated Databases to maintain individual databases & data sources yet provide central database resource, SP, M, _, _, _, _, _, _, _, , 
**BE.2**, **Include National building model inventories**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, _, 
BE.2.1, "Incorporate Building data from existing datasets published by states, counties and cities", SP, M, InProgress, _, _, _, _, _, _, _
BE.2.2, "Ingest building data from web-scraping techniques, e.g. from Zillow, county websites", SP, M, InProgress, _, _, _, _, , 
BE.2.3, Ingest building data using AI/ML techniques and satellite and street view images, SP, M, InProgress, _, _, _, _, _, _, , 
**BE.3**, **Incorporate transportation network data from existing datasets made avail through www**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
BE.3.1, Ingest additionally needed transportation network data utilizing AI/ML and satellite and street view images, SP, M, _, _, _, _, _, _, _, , 
**BE.4**, **Include National Models of Utility Networks**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
BE.4.1, Incorporate utility network data from existing datasets made avail through www, SP, M, _, _, _, _, _, _, _, _, 
BR.1, "Need for scalable tools that autonomously create an accurate database of all infrastructure components, including points of inter-dependency with other infrastructure components", GC, M, InProgress, _, _, _, _, _, , 
BR.2, Promote living community risk models utilizing local inventory data from various sources, GC, M, InProgress, _, _, _, _, _, _, _, 
BR.3, "Developing and sharing standardized definitions, measurement protocols and strategies for data collection", GC, M, _, _, _, _, _, _, **_**, **_**
**BR.4**, "**Developing tools that utilize GIS information and online images, e.g. Google Maps, for data collection for gathering Building Information**", **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
BR.4.1, Develop Framework for creating asset inventories, SP, M, Implemented, _, _, _, _, _, _, , 
BR.4.2, Create workflow application for building inventory from framework modules, SP, M, Implemented, _, _, _, _, _, _, , 
BR.4.3, Create workflow application for transportation network from framework modules, SP, M, _, _, _, _, _, _, _, , 
**BR.5**, **Developing Modules for Asset Inventory Workflows identified in BR.4**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
BR.5.1, Predicting if a building is a soft-story building for earthquake simulations, UF, M, Implemented, _, _, _, _, _, _, , 
BR.5.2, Predicting First Floor Height, SP, M, InProgress, _, _, _, _, _, _, , 
BR.5.3, Predicting Roof Height, SP, M, InProgress, _, _, _, _, _, _, , 
BR.5.4, Predicting Eave Height, SP, M, InProgress, _, _, _, _, _, _, , 
BR.5.5, Predicting Eave Length, SP, M, _, _, _, _, _, _, _, , 
BR.5.6, Predicting Roof Shape, SP, M, Implemented, _, _, _, _, _, _, , 
BR.5.7, Predicting Roof Pitch, SP, M, InProgress, _, _, _, _, _, _, , 
BR.5.8, Predicting Roof Material, SP, M, InProgress, _, _, _, _, _, _, , 
BR.5.9, Predicting Window Area, SP, M, InProgress, _, _, _, _, _, _, , 
BR.5.10, Predicting Building Material, SP, M, _, _, _, _, _, _, _, , 
BR.5.11, Classifying Elevated Building, SP, M, Implemented, _, _, _, _, _, _, , 
BR.5.12, Predicting Structural Type, SP, M, _, _, _, _, _, _, _, , 
BR.5.13, Predicting Occupancy Type, SP, M, Implemented, _, _, _, _, _, _, , 
BR.5.14, Predicting Year Built, SP, M, Implemented, _, _, _, _, _, _, , 
BR.5.15, Predicting Attached Garage, SP, M, _, _, _, _, _, _, _, , 
BR.5.16, Predicting Presence of Masonry Chimney, UF, D, _, _, _, _, _, _, _, , 
**BR.6**, **DesignSafe integration to provide access to GPU**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
BR.6.1, Create JupyterHub notebook at DesignSafe for building asset inventory workflow usage, SP, M, _, _, _, _, _, _, _, _, 
BR.6.2, "For classification done at DesignSafe, store images and metadata for BE Database", SP, M, _, _, _, _, _, _, , 
BR.6.3, Create a JupyterHub notebook at DesignSafe for individual modules to demonstrate immediate results, SP, M, _, _, _, _, _, _, _, , 
**BR.7**, **Work to improve existing performance models through Continous Learning**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
BR.7.1, Continous Learning for Year Built, SP, M, _, _, _, _, _, _, _, , 
BR.7.2, Continous Learning for Roof Material, SP, M, _, _, _, _, _, _, _, , 
BR.8, Work to gather data for Module Validation/Verification/Training, SP, M, InProgress, _, _, _, _, _, _, , 
