"ANA.1", "Ability to select from different Nonlinear Analysis options", "-", "-", "-", "-", "-", "-"
"ANA.1.1", "Ability to specify OpenSees as FEM engine and to specify different analysis options","SP", "M", "Implemented", "-", "eeuq-0001", "pbdl-0001"
"ANA.1.2", "Ability to provide own OpenSees Analysis script to OpenSees engine.","SP", "D", "Implemented", "-", "eeuq-0001", "pbdl-0001"
"ANA.1.3", "Ability to provide own Python script and use OpenSeesPy engine.","SP", "D", "-", "-", "-", "-"
"ANA.1.4", "Ability to use alternative FEM engines.","SP", "M", "-", "-", "-", "-"
"ANA.2", "Ability to know if an analysis run fails.", "-", "-", "-", "-", "-", "-"
"ANA.2.1", "Ability to specify damping ratio as a random variable","UF", "M", "Implemented", "-", "-", "-"
"ANA.2.2", "When using Rayleigh Damping, ability to specify the two modes used to calculate damping parameters","UF", "M", "Implemented", "-", "-", "-"
"ANA.3", "Ability to specify Modal Damping.","UF", "M", "Implemented", "-", "-", "-"
"ANA.4", "Ability to run for more than 60hours at DesignSafe","UF", "D", "-", "-", "-", "-"
"ANA.5", "Ability to specify number of iterations in convergence test","UF", "M", "Implemented", "-", "-", "-"
"BE.1", "Ability to use cumulative knowledge bases rather than the piecemeal individual approaches", "-", "-", "-", "-", "-", "-"
"BE.1.1", "Utilize Federated Databases to maintain individual databases & data sources yet provide central database resource","SP", "M", "-", "-", "-", "-"
"BE.2", "Include National building model inventories", "-", "-", "-", "-", "-", "-"
"BE.2.1", "Incorporate Building data from existing datasets published by states, counties and cities","SP", "M", "InProgress", "-", "-", "-"
"BE.2.2", "Ingest building data from web-scraping techniques, e.g. from zillow, county websites","SP", "M", "InProgress", "-", "-", "-"
"BE.2.3", "Ingest building data using AI/ML techniques and satellite and streetview images","SP", "M", "InProgress", "-", "-", "-"
"BE.3", "Incorporate transportation newtwork data from existing datasets made avail through www", "-", "-", "-", "-", "-", "-"
"BE.3.1", "Ingest additionally needed transportation newtwork data utilizing AI/ML and satellite and streetview images","SP", "M", "-", "-", "-", "-"
"BE.4", "Include National Models of Utility Networks", "-", "-", "-", "-", "-", "-"
"BE.4.1", "Incorporate utility network data from existing datasets made avail through www","SP", "M", "-", "-", "-", "-"
"BR.1", "Need for scalable tools that autonomously create an accurate database of all infrastructure components, including points of inter- dependency with other infrastructure components","GC", "M", "InProgress", "-", "-", "-"
"BR.2", "Promote living community risk models utilizing local inventory data from various sources","GC", "M", "InProgress", "-", "-", "-"
"BR.3", "Developing and sharing standardized definitions, measurement protocols and strategies for data collection","GC", "M", "-", "-", "-", "-"
