**DLD.1**, **Data Schema**, **_**, **_**, **_**, **_**, 
**DLD.1.1**, **Generic JSON format**, **_**, **_**, **_**, **_**, 
DLD.1.1.1, Develop a generic JSON data format for component fragility and consequence functions, SP, D, Implemented, Superseded by DLD.1.1.3, 
DLD.1.1.2, Store FEMA P58 and HAZUS component data in the new JSON format and make them available, SP, D, Implemented, Superseded by DLD.1.1.3, 
DLD.1.1.3, Develop a second-generation data schema that combines CSV and JSON files for fragility and consequence functions, SP, D, Implemented, `Example 1 <https://nheri-simcenter.github.io/R2D-Documentation/common/user_manual/examples/desktop/E1BasicHAZUS/README.html>`_, 
**DLD.1.2**, **HDF5 Data Storage**, **_**, **_**, **_**, **_**, 
DLD.1.2.1, Store the JSON files in an HDF5 data structure for each data source, SP, M, Implemented, Superseded by DLD.2.1.3, 
**DLD.2.1**, **Online Database**, **_**, **_**, **_**, **_**, 
DLD.2.1.1, Create an online database for storing parameters of damage and loss models for buildings, SP, M, Implemented, `DL Model Library <https://github.com/NHERI-SimCenter/DamageAndLossModelLibrary>`_, 
DLD.2.1.2, Extend online database to store parameters of damage and loss models for transportation networks, SP, M, Implemented, `DL Models for Transportation <https://nheri-simcenter.github.io/PBE-Documentation/common/dldb/damage/Hazus_EQ_trnsp/index.html>`_, 
DLD.2.1.3, Extend online database to store parameters of damage and loss models for buried pipeline networks, SP, M, InProgress, 1.1.3.5.3, 
DLD.2.1.4, Populate building database with high-resolution model parameters from researchers, SP, M, InProgress, 1.1.3.5.1, 
DLD.2.1.5, Populate lifeline database with high-resolution model parameters from researchers, SP, M, InProgress, 1.1.3.5.3, 
