WE,"Application to determine response of Building Subject to Wind Loading including formal treatment of randomness and uncertainty uncertainty",,,InProgress,`Application <https://nheri-simcenter.github.io/WE-UQ-Documentation/index.html>`_
**WE.1**,"**Adaptation of non-linear analysis methods used in seismic design**",**GC**,**M**,**Implemented**,
WE.1.1,"Include ability to create models incorprating options listed in MOD under BM",SP,M,Implemented,`SIM <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/SIM.html>`_
WE.1.2,"Include ability to perform nonlinear analysis on the building models listed in ANA",SP,M,Implemented,`SIM <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/SIM.html>`_
,,,,,
**WE.2**,"**Ability to select from Wind Loading Options listed in WL2**",**SP**,**M**,**Implemented**,
,,,,,
**WE.3**,"**Ability to use Various UQ Methods and Variable Options**",,,,
WE.3.1,"Ability to use Forward Propagtion methods listed in UQ under UF",SP,M,Implemented,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0014/README.html>`_
WE.3.2,"Ability to use Reliability Methods listed in UQ under UR",SP,M,Implemented,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0007/README.html>`_
WE.3.3,"Ability to use Global Sensitivity Methods listed in UQ under UG",SP,M,Implemented,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0007/README.html>`_
WE.3.4,"Ability to both use and create surrogates listed in UQ under US",SP,M,InProgress, 1.2.2.2
WE.3.5,"Ability to use High Dimensional UQ listed in UQ under UH",SP,M,InProgress,
,,,,,
**WE.4**,"**Ability to see pressure distribution on buildings**",**GC**,**M**,InProgress, 1.2.1.1
,,,,,
**WE.5**,"**Ability to obtain basic building responses**",**SP**,**M**,Implemented,`EDP <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/response/EDP.html>`_
,,,,,
**WE.6**,"**Ability to Visualize the Results**",**SP**,**M**,**Implemented**,
WE.6.1,"Ability to view individual sample results",SP,M,Implemented,`RES <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/response/resEE.html>`_
WE.6.2,"Ability to graphically view the results to show distribution in respone",SP,M,Implemented, `RES <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/response/resEE.html>`_
,,,,,
**WE.7**,"**Miscelleneous User Requests**",,,,
WE.7.1,"Ability to Process own Output Parameters",UF,M,Implemented,
WE.7.2,"Ability to Remove from Results certain Samples,e.g. ones that failed in analysis",UF,M,Implemented,
WE.7.3,"Create a digital twin of the Wall of Wind facility to allow researchers to simulate experiments",UF,M,Implemented,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0015/README.html>`_
,,,,,
**WE.8**,"**Tool should incorporate data from www**",**GC**,**M**,**Implemented**,
WE.8.1,"Tool could obtain loading from Vortex Winds over www",SP,M,Implemented,`Event <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/wind/DEDMHrp.html>`_
WE.8.2,"Tool should obtain loading info from TPU wind tunnel tests",SP,D,Implemented,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0007/README.html>`_
WE.8.3,"Tool should obtain building modelling info from database through  www",SP,D,,
,,,,,
**WE.9**,"**General Software Requirements**",,,,
WE.9.1,"Application to Provide Common SimCenter Research Application Requirements listed in CR",GC,M,InProgress,
