HL1, "CFD to model fluid flow around a single rigid structure", GC, M, 
HL3, "Mesh refinement around structures", GC, M, 
HL2, "CFD to model fluid flow around a single deformable structure", GC, M, 
HL4, "CFD to model fluid flow considering inflow and accumulation of fluid inside a rigid structure", GC, M, 
HL5, "CFD to model fluid flow considering inflow and accumulation of fluid inside deformable structures", GC, M, 
HL6, "Mesh refinement around structure and around the walls", GC, M, 
HL7, "CFD to model fluid flow considering inflow, accumulation, and possible outflow of fluid across a rigid structure", GC, M, 
HL8, "CFD to model fluid flow considering inflow, accumulation, and possible outflow of fluid across a deformable structure", GC, M, 
HL9, "CFD to model shock-type of events, e.g. like creating an outflow due to window breakage", GC, M,
HL10, "Ability to calculate loads from the OpenFOAM simulations", GC, M,


