PBE, "*Ability to determine damage and loss calculations for a building subjected to a natural hazard including formal treatment of randomness and uncertainty uncertainty*", GC, M, InProgress
PBE1, "**Ability to determine  damage and loss for multiple different hazards**", GC, M, InProgress
PBE1.1 , "Damage and Loss for ground shaking due to Earthquake ", GC , M , Implemented  
PBE1.2 , "Damage and Loss due to Wind Loading ", GC , M , InProgress
PBE1.3 , "Damage and Loss due to water damage due to Tsunami or Coastal Inundation ", GC , M ,
PBE2, "**Ability to Select from Different Hazard Options**", , , 
PBE2.1, "Ability to select from all EE-UQ Event Options listed in EE-UQ", SP , M , Implemented
PBE2.2, "Ability to select from all WE-UQ Event Options listed in WE-UQ", SP , M , Implemented      
PBE2.3, "Ability to select from all HydroUQ Event Options ", SP , M , Implemented
PBE3, "**Ability to use different Model Generation Tools**", , , 
PBE3.1 , "Ability to Select All Building Model Generators in EE-UQ ", SP , M , Implemented  
PBE3.2, "Ability to Select All Building Model Generators in WE-UQ ", SP , M , 
PBE3.3 , "Ability to Select All Building Model Generators in HydroUQ ", SP , M ,   
PBE4, "**Ability to use Various UQ Methods and Variable Options**", , , 
PBE4.1 , "Ability to use all forward propagation methods available in EE-UQ, WE-UQ and HydroUQ", SP , M , Implemented
PBE4.2, "Ability to use all random variable distributions in EE-UQ, WE-UQ and HydroUQ", SP , M , Implemented 
PBE5, "**Misc User Requests**", , , 
PBE5.1 , "Ability to Process own Output Parameters ", UF , M ,    
PBE5.2 , "Add to Standard Earthquake a variable indicating analysis failure ", UF , D ,    
PBE5.3 , "Allow users to provide their own set of EDPs for the analysis. ", UF , D , Implemented
PBE6, "**General Software Requirements**", , , 
PBE6.1 , "Ability of Practicing Engineers to use multiple coupled resources (applications, databases, viz tools) in engineering practice ", GC , M, Implemented
PBE6.2 , "Ability to utilize resources beyond the desktop including HPC ", GC , M , Implemented  
PBE6.3 , "Tool should incorporate data from WWW ", GC , M , Implemented  
PBE6.4 , "Tool available for download from web ", GC , M , Implemented  
PBE6.5 , "Ability to use new viz tools for viewing large datasets generated by PBE ", GC , M , Implemented 
PBE6.6 , "Tool to allow user to load and save user inputs ", SP , M , Implemented  
PBE6.7 , "Simplify run local and run remote by removing workdir locations. Move to preferences ", UF , D , Implemented 
PBE6.8 , "Add to EDP a variable indicating analysis failure ", UF , D ,    
PBE6.9 , "Installer which installs application and all needed software ", UF , M ,
PBE6.10 , "Ability to gain educational materials that will help and encourage PBE ", GC  , M , Implemented  
PBE6.11 , "Documentation exists on tool usage ", SP , M , Implemented   
PBE6.12 , "Video Exists demonstrating usage ", SP , M , Implemented   
PBE6.13 , "Verification Examples Exist ", SP , M , Implemented   
PBE6.14 , "Validation Examples Exist, validated against tests or other software ", GC , D ,
