DLD3, "**Data Sources**", "", "", ""
DLD3.1, "*Make the component fragility and consequence functions from FEMA P58 available*", "SP", "M", ""
DLD3.1.1, "FEMA P58 First Edition", "SP", "M", Implemented
DLD3.1.1, "FEMA P58 Second Edition", "UF", "M", Implemented
DLD3.2, "*Make the building fragility and consequence functions from HAZUS available*", "SP", "M", ""
DLD3.2.1, "HAZUS earthquake damage, reconstruction cost and time", "SP", "M", "Implemented"
DLD3.2.2, "HAZUS hurricane wind damage, reconstruction cost and time", "SP", "M", Implemented
DLD3.2.3, "HAZUS storm surge damage, reconstruction cost and time", "SP", "M", ""
"","","","",""
DLD4, "**Data Storage**", "", "", ""
DLD4.1, "*Generic JSON format*", "SP", "M", ""
DLD4.1.1, "Develop a generic JSON data format for component fragility and consequence functions", "SP", "D", "Implemented"
DLD4.1.2, "Store FEMA P58 and HAZUS component data in the new JSON format and make them available", "SP", "D", "Implemented"
DLD4.2, "*UnQLite Database*", "SP", "M", ""
DLD4.2.1, "Store the JSON files in an UnQLite database for each data source", "SP", "M", "2.1"
