Station,Latitude,Longitude
0,37.7468,-122.34
1,37.7539,-122.34
2,37.7612,-122.34
3,37.7684,-122.34
4,37.7755,-122.34
5,37.7828,-122.34
6,37.7899,-122.34
7,37.7972,-122.34
8,37.8044,-122.34
9,37.7468,-122.328
10,37.7539,-122.328
11,37.7612,-122.328
12,37.7684,-122.328
13,37.7755,-122.328
14,37.7828,-122.328
15,37.7899,-122.328
16,37.7972,-122.328
17,37.8044,-122.328
18,37.7468,-122.316
19,37.7539,-122.316
20,37.7612,-122.316
21,37.7684,-122.316
22,37.7755,-122.316
23,37.7828,-122.316
24,37.7899,-122.316
25,37.7972,-122.316
26,37.8044,-122.316
27,37.7468,-122.303
28,37.7539,-122.303
29,37.7612,-122.303
30,37.7684,-122.303
31,37.7755,-122.303
32,37.7828,-122.303
33,37.7899,-122.303
34,37.7972,-122.303
35,37.8044,-122.303
36,37.7468,-122.291
37,37.7539,-122.291
38,37.7612,-122.291
39,37.7684,-122.291
40,37.7755,-122.291
41,37.7828,-122.291
42,37.7899,-122.291
43,37.7972,-122.291
44,37.8044,-122.291
45,37.7468,-122.279
46,37.7539,-122.279
47,37.7612,-122.279
48,37.7684,-122.279
49,37.7755,-122.279
50,37.7828,-122.279
51,37.7899,-122.279
52,37.7972,-122.279
53,37.8044,-122.279
54,37.7468,-122.266
55,37.7539,-122.266
56,37.7612,-122.266
57,37.7684,-122.266
58,37.7755,-122.266
59,37.7828,-122.266
60,37.7899,-122.266
61,37.7972,-122.266
62,37.8044,-122.266
63,37.7468,-122.254
64,37.7539,-122.254
65,37.7612,-122.254
66,37.7684,-122.254
67,37.7755,-122.254
68,37.7828,-122.254
69,37.7899,-122.254
70,37.7972,-122.254
71,37.8044,-122.254
72,37.7468,-122.242
73,37.7539,-122.242
74,37.7612,-122.242
75,37.7684,-122.242
76,37.7755,-122.242
77,37.7828,-122.242
78,37.7899,-122.242
79,37.7972,-122.242
80,37.8044,-122.242
81,37.7468,-122.229
82,37.7539,-122.229
83,37.7612,-122.229
84,37.7684,-122.229
85,37.7755,-122.229
86,37.7828,-122.229
87,37.7899,-122.229
88,37.7972,-122.229
89,37.8044,-122.229
90,37.7468,-122.217
91,37.7539,-122.217
92,37.7612,-122.217
93,37.7684,-122.217
94,37.7755,-122.217
95,37.7828,-122.217
96,37.7899,-122.217
97,37.7972,-122.217
98,37.8044,-122.217
