,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0,structureType,replacementCost,originID
1,NJBF000083279,119 KATHERINE AVENUE,Hamilton,NJ,39.44089743,-74.71993727,RES1,3001,,16,NE,1946,1946,3102,1,1,1704.073412,1704.073412,3507,NO,12.76,22.41,1,0.34,6112,109.123386,118.815168,128.490756,133.374685,I,Above,Gable,0,5701,,17.58580746,0,0,,,,1,1,,0.35,nav,1,778
2,NJBF000058080,124 N HUNTINGTON AVE,Margate City,NJ,39.33166965,-74.50396983,RES1,3001,,17,NE,1946,1946,3102,2,1,964.2719128,964.2719128,3507,NO,30.76,36.4,1,0.97,6106,113.36632,123.196083,132.896558,139.462592,I,Above,Hip,0,5701,,33.58059091,0,0,,,,1,1,,0.03,nav,1,93
3,NJBF000077636,2429 BAYSHORE AVE,Brigantine,NJ,39.40000135,-74.38391896,RES1,3001,,17,NE,1946,1946,3102,2,1,1286.818181,1286.818181,3507,NO,34.01,44.41,1,0.53,6106,115.129299,124.655717,134.538718,140.4739,I,Above,Gable,0,5701,Wood,39.2087959,0,1.2,,,,1,1,,0.03,nav,1,1210
4,NJBF000068930,3534 BARGAINTOWN ROAD,Egg Harbor,NJ,39.35805051,-74.58051923,RES1,3001,,16,NE,1953,1953,3101,1,1,1678.518665,1678.518665,3507,NO,17.14,28.12,1,0.14,6112,111.296122,121.561301,131.246895,137.501093,I,Above,Gable,0,5701,,22.62949098,0,1.2,,,,1,1,,0.35,nav,1,713
5,NJBF000079126,207 2ND STREET NO,Galloway,NJ,39.40969176,-74.36320682,RES1,3001,,15,NE,1953,1953,3102,1,1,747.7406916,747.7406916,3507,NO,17.21,24.07,1,2.71,6106,115.447759,124.950731,134.877889,140.678075,I,Above,Gable,0,5701,,20.63738016,0,0,,,,1,1,,0.03,nav,1,5179
6,NJBF000078208,1413 BAYSHORE AVE,Brigantine,NJ,39.40365222,-74.37511144,RES1,3001,,19,NE,1953,2018,3102,3,1,1654.601925,1654.601925,3507,NO,42.33,51.22,1,0.41,6106,115.270483,124.785062,134.686887,140.566348,I,Above,Hip,0,5701,Wood,46.77500968,0,1.1,,,,1,1,,0.03,nav,1,1591
7,NJBF000054995,108 OSBORNE RD,Somers Point,NJ,39.32483344,-74.60466135,RES1,3001,,16,NE,1964,1964,3101,1,1,1781.609397,1781.609397,3507,NO,10.68,24.41,1,-0.71,6110,111.383965,121.529443,131.233897,137.487706,I,Above,Gable,0,5701,,17.54588115,0,0,,,,1,1,,0.35,nav,1,1760
8,NJBF000058039,300 N JEROME AVE,Margate City,NJ,39.33159311,-74.50743266,RES1,3001,,17,NE,1964,1964,3102,2,1,1390.50149,1390.50149,3505,NO,38.38,50.97,3,8.1,6106,113.291144,123.135714,132.833592,139.392906,I,Above,Hip,0,5701,,44.67703156,0,0,,,,1,1,,0.03,nav,1,1658
9,NJBF000055748,2 DOLPHIN DR,Margate City,NJ,39.32688437,-74.50032485,RES1,3001,,20,NE,1964,1964,3102,2,1,2428.992315,2428.992315,3505,NO,28.96,37.74,3,6.68,6106,113.515244,123.314794,133.016747,139.60025,I,Above,Hip,0,5701,,33.34836023,0,1.1,,,,1,1,,0.03,nav,1,1057
10,NJBF000063022,105 E.LAKEVIEW DRIVE,Egg Harbor,NJ,39.34071989,-74.61302018,RES1,3001,,16,NE,1975,1975,3102,2,1,2101.807978,2101.807978,3505,NO,31.47,41.76,3,4.16,6110,110.941781,121.197095,130.925304,137.083765,I,Above,Gable,0,5701,,36.61496261,0,1.2,,,,1,1,,0.03,nav,1,1388
11,NJBF000066110,505 N SUFFOLK AVE,Ventnor City,NJ,39.34893143,-74.48029156,RES1,3001,,17,NE,1975,1975,3102,2,1,1369.5075,1369.5075,3507,NO,29.19,39.67,1,0.61,6106,113.655963,123.425699,133.149889,139.650975,I,Above,Gable,0,5701,,34.43054298,0,0,,,,1,1,,0.03,nav,1,3538
12,NJBF000073492,10 OCEAN DRIVE WEST,Atlantic City,NJ,39.38113137,-74.40999679,RES1,3001,,16,NE,1975,1975,3103,2,1,1832.035426,1832.035426,3505,NO,34.18,44.84,3,1.89,6106,114.793626,124.361982,134.195585,140.313277,I,Above,Gable,0,5701,Wood,39.51043841,0,1.1,,,,1,1,,0.03,nav,1,4746
13,NJBF000057403,12 EDGEWOOD DR,Somers Point,NJ,39.33051161,-74.60016024,RES1,3001,,16,NE,1981,1981,3101,2,1,1660.572695,1660.572695,3507,NO,39.3,50.93,1,1.17,6106,111.360647,121.536699,131.242921,137.499083,I,Above,Gable,0,5701,,45.11670199,0,0,,,,1,1,,0.03,nav,1,644
14,NJBF000057446,28 N HAVERFORD AVE,Margate City,NJ,39.33058915,-74.50212761,RES1,3001,,18,NE,1981,1981,3102,2,1,1102.124105,1102.124105,3505,NO,31.45,37.36,3,0.93,6106,113.422316,123.240902,132.942559,139.514928,I,Above,Flat,0,5701,,34.40348935,0,1.1,,,,1,1,,0.03,nav,1,1002
