BldgID,Longitude,Latitude,Address,City,BldgClass,YearBuilt,NumberofStories1,OccupancyClass,BuildingType
0101_1.01_1.01,-74.51503446,39.39359318,368 UPLAND AVE,ABSECON CITY,17,1986,1,RES1,3001
0101_1.01_1.01,-74.6881434,39.65375331,368 UPLAND AVE,ABSECON CITY,17,1986,1,RES1,3001
0101_1.01_1.02,-74.5177535,39.3932035,135 TENTH AVE,ABSECON CITY,17,1988,1,RES1,3001
0101_1.01_1.02,-74.71374499,39.64733006,135 TENTH AVE,ABSECON CITY,17,1988,1,RES1,3004
0101_1.01_1.03,-74.51888718,39.39071507,358 UPLAND AVE,ABSECON CITY,17,1986,1,REL1,3004
0101_1.01_1.03,-74.70968469,39.65440102,358 UPLAND AVE,ABSECON CITY,17,1986,1,RES1,3001
0101_1.01_1.04,-74.5250585,39.3937085,360 UPLAND AVE,ABSECON CITY,17,1986,1,RES1,3001
0101_1.01_1.04,-74.77548678,39.64267177,360 UPLAND AVE,ABSECON CITY,17,1986,1,RES1,3001
0101_1.01_1.05,-74.52764883,39.39361624,362 UPLAND AVE,ABSECON CITY,17,1986,1,RES1,3001
0101_1.01_1.05,-74.78028217,39.64101694,362 UPLAND AVE,ABSECON CITY,17,1986,1,RES1,3001
0101_1.01_1.06,-74.52233086,39.39333521,364 UPLAND AVE,ABSECON CITY,17,1985,1,RES1,3001
0101_1.01_1.06,-74.77804867,39.63992094,364 UPLAND AVE,ABSECON CITY,17,1985,1,GOV1,3004
0101_1.01_1.07,-74.52807498,39.39314233,366 UPLAND AVE,ABSECON CITY,17,1985,1,RES1,3001
0101_1.01_1.07,-74.78615217,39.643841,366 UPLAND AVE,ABSECON CITY,17,1985,1,RES1,3001
0101_1.01_10,-74.52800859,39.38599874,1110 SPRING LANE,ABSECON CITY,17,1975,1,RES1,3001
0101_1.01_10,-74.88923019,39.50375159,1110 SPRING LANE,ABSECON CITY,17,1975,1,RES1,3001
0101_1.01_11,-74.51772233,39.40059992,1112 SPRING LANE,ABSECON CITY,17,1974,1,RES1,3001
0101_1.01_11,-74.918497,39.487918,1112 SPRING LANE,ABSECON CITY,17,1974,1,RES1,3001
0101_1.01_12,-74.5172961,39.40053271,1114 SPRING LANE,ABSECON CITY,17,1976,1,RES1,3001
0101_1.01_12,-74.9354975,39.4887385,1114 SPRING LANE,ABSECON CITY,17,1976,1,RES1,3001
0101_1.01_13,-74.5147125,39.39899,1101 SPRING LANE,ABSECON CITY,17,1968,1,GOV1,3004
0101_1.01_13,-74.92811427,39.48833544,1101 SPRING LANE,ABSECON CITY,17,1968,1,RES1,3001
0101_1.01_14,-74.519451,39.397522,1103 SPRING LANE,ABSECON CITY,17,1972,1,RES1,3001
0101_1.01_14,-74.93442238,39.49584976,1103 SPRING LANE,ABSECON CITY,17,1972,1,RES1,3001
0101_1.01_15,-74.5183,39.3948585,1105 SPRING LANE,ABSECON CITY,17,1973,1,RES3A,3001
0101_1.01_15,-74.93967,39.501525,1105 SPRING LANE,ABSECON CITY,17,1973,1,RES1,3001
0101_1.01_16,-74.5277345,39.4013845,1107 SPRING LANE,ABSECON CITY,17,1975,1,RES1,3001
0101_1.01_16,-74.90333849,39.50495034,1107 SPRING LANE,ABSECON CITY,17,1975,1,RES1,3001
0101_1.01_17,-74.52074335,39.39902594,1109 SPRING LANE,ABSECON CITY,17,1973,1,GOV1,3004
0101_1.01_17,-74.913056,39.510618,1109 SPRING LANE,ABSECON CITY,17,1973,1,RES1,3001
0101_1.01_18,-74.5309655,39.398919,1111 SPRING LANE,ABSECON CITY,17,1974,1,RES1,3001
0101_1.01_18,-74.9245365,39.510431,1111 SPRING LANE,ABSECON CITY,17,1974,1,RES1,3001
0101_1.01_19,-74.52719857,39.39823654,1113 SPRING LANE,ABSECON CITY,17,1972,1,RES1,3001
0101_1.01_19,-74.92673377,39.50823997,1113 SPRING LANE,ABSECON CITY,17,1972,1,RES1,3001
0101_1.01_2.01,-74.531211,39.3902545,1100 PLYMOUTH LANDING RD,ABSECON CITY,17,1972,1,RES1,3001
0101_1.01_2.01,-74.79152636,39.64354329,1100 PLYMOUTH LANDING RD,ABSECON CITY,17,1972,1,RES1,3001
0101_1.01_2.02,-74.5209253,39.38970893,1102 PLYMOUTH LANDING RD,ABSECON CITY,17,1994,1,RES1,3001
0101_1.01_2.02,-74.79195782,39.64242519,1102 PLYMOUTH LANDING RD,ABSECON CITY,17,1994,1,RES1,3001
0101_1.01_2.03,-74.52356599,39.38559084,1104 PLYMOUTH LANDING RD,ABSECON CITY,17,1981,1,RES1,3001
0101_1.01_2.03,-74.79365933,39.6420845,1104 PLYMOUTH LANDING RD,ABSECON CITY,17,1981,1,RES1,3001
0101_1.01_2.04,-74.51530358,39.40220261,1106 PLYMOUTH LANDING RD,ABSECON CITY,17,1993,1,RES1,3001
0101_1.01_2.04,-74.7853345,39.64078717,1106 PLYMOUTH LANDING RD,ABSECON CITY,17,1993,1,RES1,3001
0101_1.01_2.05,-74.515183,39.402166,1108 PLYMOUTH LANDING RD,ABSECON CITY,17,1989,1,RES1,3001
0101_1.01_2.05,-74.77946003,39.65537853,1108 PLYMOUTH LANDING RD,ABSECON CITY,17,1989,1,RES1,3001
0101_1.01_2.06,-74.51256348,39.40014734,1110 PLYMOUTH LANDING RD,ABSECON CITY,17,1986,1,GOV1,3004
0101_1.01_2.06,-74.78071036,39.65287505,1110 PLYMOUTH LANDING RD,ABSECON CITY,17,1986,1,RES1,3001
0101_1.01_2.07,-74.52005752,39.39859916,1112 PLYMOUTH LANDING RD,ABSECON CITY,17,1986,1,RES1,3001
