,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0,structureType,replacementCost,yearBuilt,stories,area,occupancy
1,NJBF000071434,425 N MARYLAND AVE,Atlantic City,NJ,39.37060793,-74.42564427,RES1,3001,210,NaN,NE,1969,0,3102,1,1,906.2940373,906.2940373,3505,NO,12.09,25.16,3,-0.83,6106,114.582127,124.183352,133.988734,140.212988,I,Above,Flat,0,5701,Wood,18.62778897,0,0,,,,1,1,,0.03,nav,1,1969,1,,
2,NJBF000069199,125 N FLORIDA AVE,Atlantic City,NJ,39.35914703,-74.44296699,RES3B,3001,,NaN,ME,1969,0,3301,2,1,746.77695,746.77695,3505,NO,20.8,28.38,3,-1.12,6106,114.345973,123.988371,133.764787,140.105028,I,Above,Flat,0,NaN,Wood,24.5906803,0,0,,,,1,1,,0.03,nav,1,1969,2,,
3,NJBF000073099,600 HURON AVE,Atlantic City,NJ,39.37757936,-74.4295234,GOV2,3001,,NaN,E,1969,0,3401,3,1,1513.12497,1513.12497,3507,NO,53.51,64.92,1,2.61,6102,114.419245,124.039359,133.835327,140.051978,I,Above,Hip,0,NaN,Wood,59.2178323,0,0,,,,1,1,,0.03,nav,1,1969,3,,
4,NJBF000072131,332 N RHODE ISLAND AVE,Atlantic City,NJ,39.37266302,-74.4195965,IND1,3003,100,NaN,E,1969,0,3401,1,1,1000.334181,1000.334181,3507,NO,12.94,25.08,1,0.65,6106,114.687154,124.272844,134.089421,140.279189,I,Above,Flat,0,NaN,Wood,19.01116657,0,0,,,,1,1,,0.03,nav,1,1969,1,,
5,NJBF000067530,1 ATLANTIC OCEAN,Atlantic City,NJ,39.35374924,-74.43417403,COM8,3003,738,NaN,ME,1969,0,3401,1,1,177963.6629,177963.6629,3502,NO,23.82,31.38,5,9.26,6102,114.602674,124.205439,133.996965,140.317942,I,Above,Flat,0,NaN,Wood,27.5964249,0,0,,,,1,1,,0.03,nav,1,1969,1,,
6,NJBF000067877,11 N MORRIS AVE,Atlantic City,NJ,39.35486056,-74.44795731,RES3B,3001,,45,ME,1900,1900,3301,2,3,835.133255,835.133255,3504,NO,22.28,31.19,-4,0,6106,114.290475,123.943662,133.712312,140.089522,I,Above,Hip,0,NaN,Wood,26.73550746,0,0,,,,1,1,,0.03,nav,1,1900,2,,
7,NJBF000068827,601 N ALBANY AVE,Atlantic City,NJ,39.35771681,-74.45662953,COM1,3003,,NaN,ME,1969,0,3401,1,1,654.0515616,654.0515616,3507,NO,12.92,22.85,1,0.48,6106,114.066125,123.756156,133.511018,139.908712,I,Above,Flat,0,NaN,Wood,17.88736232,0,0,,,,1,1,,0.03,nav,1,1969,1,,
8,NJBF000070418,1500-1538 ADRIATIC AVE,Atlantic City,NJ,39.36703147,-74.43394222,RES3C,3004,,NaN,ME,1969,0,3301,1,1,938.5675163,938.5675163,3505,NO,22.15,30.29,3,8.37,6106,114.446193,124.069174,133.859987,140.133075,I,Above,Gable,0,NaN,Wood,26.2188825,0,0,,,,1,1,,0.03,nav,1,1969,1,,
9,NJBF000073313,900 BEACH THOROFARE,Atlantic City,NJ,39.37975402,-74.42453449,GOV2,3001,,NaN,E,1969,0,3401,2,1,606.967372,606.967372,3507,NO,36.33,45.23,1,0.84,6106,114.501236,124.10828,133.913045,140.101152,I,Above,Flat,0,NaN,Wood,40.78026092,0,0,,,,1,1,,0.03,nav,1,1969,2,,
10,NJBF000073035,1 BORGATA WAY,Atlantic City,NJ,39.37673702,-74.43505349,COM8,3003,80,NaN,ME,1969,0,3401,1,1,1879.060694,1879.060694,3507,NO,10.76,20.42,1,-0.2,6112,114.310272,123.946858,133.732799,139.974749,I,Above,Gable,0,NaN,Wood,15.58973262,0,0,,,,1,1,,1,nav,1,1969,1,,
11,NJBF000070587,22 N VERMONT AVE,Atlantic City,NJ,39.36769548,-74.4155228,RES3D,3004,,NaN,E,1969,0,3303,4,1,665.0906288,665.0906288,3505,NO,76.24,85.91,3,5.65,6106,114.831915,124.399307,134.224762,140.410933,I,Above,Flat,0,NaN,Wood,81.0745672,0,0,,,,1,1,,0.03,nav,1,1969,4,,
12,NJBF000071302,822 ADRIATIC AVE,Atlantic City,NJ,39.37013371,-74.4249531,RES1,3001,100,NaN,NE,1969,0,3102,2,1,2115.508277,2115.508277,3505,NO,35.03,48.91,3,0.95,6106,114.602423,124.200968,134.007765,140.230525,I,Above,Flat,0,5701,Wood,41.96684013,0,0,,,,1,1,,0.03,nav,1,1969,2,,
13,NJBF000068281,1701 BOARDWALK,Atlantic City,NJ,39.35622601,-74.42913186,COM8,3003,100,NaN,ME,1969,0,3401,1,1,1182.211148,1182.211148,3507,YES,15.94,25.06,1,1.71,6106,114.680286,124.270854,134.071307,140.360231,I,Above,Hip,0,NaN,Wood,20.50057463,0,0,,,,1,1,,0.03,nav,1,1969,1,,
14,NJBF000073032,1 BORGATA WAY,Atlantic City,NJ,39.37671002,-74.43481749,COM8,3003,80,NaN,ME,1969,0,3401,2,1,1034.644393,1034.644393,3507,NO,29.16,38.09,1,-0.95,6112,114.315643,123.951461,133.737847,139.978972,I,Above,Flat,0,NaN,Wood,33.62230206,0,0,,,,1,1,,1,nav,1,1969,2,,
15,NJBF000073016,600 HURON AVE,Atlantic City,NJ,39.37654852,-74.42859749,GOV2,3001,,NaN,E,1969,0,3401,3,1,1893.761678,1893.761678,3507,NO,46.44,51.95,1,0.4,6102,114.450688,124.067108,133.865198,140.081631,I,Above,Flat,0,NaN,Wood,49.19737067,0,0,,,,1,1,,0.03,nav,1,1969,3,,
16,NJBF000072680,618 N CONNECTICUT AVE,Atlantic City,NJ,39.37449952,-74.4238115,RES1,3001,,NaN,NE,1969,0,3102,2,1,868.5192539,868.5192539,3505,NO,30.29,45.09,3,5.82,6106,114.576225,124.176314,133.984216,140.187041,I,Above,Flat,0,5701,Wood,37.69262817,0,0,,,,1,1,,0.03,nav,1,1969,2,,
17,NJBF000071245,,Atlantic City,NJ,39.36991241,-74.42513813,RES1,3001,,NaN,NE,1969,0,3102,2,1,814.36214,814.36214,3505,NO,33.93,39.75,3,3.8,6106,114.601067,124.199901,134.006394,140.230744,I,Above,Flat,0,5701,Wood,36.84013057,0,0,,,,1,1,,0.03,nav,1,1969,2,,
18,NJBF000070402,1500-1538 ADRIATIC AVE,Atlantic City,NJ,39.36696953,-74.43408199,RES3C,3004,,NaN,ME,1969,0,3301,1,1,1047.135344,1047.135344,3505,NO,20.16,34.47,3,8.14,6106,114.443902,124.067262,133.857835,140.13174,I,Above,Flat,0,NaN,Wood,27.31446286,0,0,,,,1,1,,0.03,nav,1,1969,1,,
19,NJBF000073509,5207 HARBOR BEACH BLVD,Atlantic City,NJ,39.38121603,-74.40752613,RES1,3001,,17,NE,1987,1987,3103,2,1,1585.636058,1585.636058,3505,NO,38.96,49.1,3,3.55,6110,114.844667,124.406792,134.245537,140.351043,I,Above,Gable,0,5701,Wood,44.03148628,0,0,,,,1,1,,0.35,nav,1,1987,2,,
20,NJBF000073577,5110 ONTARIO DRIVE,Atlantic City,NJ,39.381728,-74.4063255,RES1,3001,,43,NE,1985,1985,3103,2,2,1247.359049,1247.359049,3505,NO,24.54,39.02,3,-0.32,6110,114.86414,124.423747,134.264858,140.362971,I,Above,Gable,0,5701,Wood,31.77601017,0,0,,,,1,1,,0.35,nav,1,1985,2,,
21,NJBF000073745,4 MANITOBA AVE,Atlantic City,NJ,39.38288165,-74.40613562,RES3A,3001,,18,NE,2006,2006,3301,2,1,2553.805107,2553.805107,3505,NO,37.36,44.6,3,2.83,6106,114.855157,124.415388,134.256509,140.350275,I,Above,Hip,0,5701,Wood,40.98307329,0,1.1,,,,1,1,,0.03,nav,1,2006,2,,
