Occupancy,Source,Description
RES1,FIA,"one floor, no basement, Structure, A-Zone"
RES1,FIA (MOD.),"one floor, w/ basement, Structure, A-Zone"
RES1,FIA,"two floors, no basement, Structure, A-Zone"
RES1,FIA (MOD.),"two floors, w/ basement, Structure, A-Zone"
RES1,FIA,"three or more floors, no basement, Structure, A-Zone"
RES1,FIA (MOD.),"three or more floors, w/ basement, Structure, A-Zone"
RES1,FIA,"split level, no basement, Structure, A-Zone"
RES1,FIA (MOD.),"split level, w/ basement, Structure, A-Zone"
RES1,FIA,"one floor, no basement, Structure, V-Zone"
RES1,FIA (MOD.),"one floor, w/ basement, Structure, V-Zone"
RES1,FIA,"two floors, no basement, Structure, V-Zone"
RES1,FIA (MOD.),"two floors, w/ basement, Structure, V-Zone"
RES1,FIA,"three or more floors, no basement, Structure, V-Zone"
RES1,FIA (MOD.),"three or more floors, w/ basement, Structure, V-Zone"
RES1,FIA,"split level, no basement, Structure, V-Zone"
RES1,FIA (MOD.),"split level, w/ basement, Structure, V-Zone"
RES2,FIA,"Mobile home, structure, A-Zone"
RES2,FIA,"Mobile home, structure, V-Zone"
RES3,USACE - Galveston,"Apartment, living area on one floor, Structure"
RES4,USACE - Galveston,"Average Hotel & Motel, structure"
RES5,USACE - Galveston,"Nursing Home, structure"
RES6,USACE - Galveston,"Nursing Home, structure"
COM1,USACE - Galveston,"Average Retail, Structure"
COM2,USACE - Galveston,"Average wholesale, Structure"
COM3,USACE - Galveston,"Average Personal & Repair Services, Structure"
COM4,USACE - Galveston,"Average Prof/Tech Services, Structure"
COM5,USACE - Galveston,"Bank, Structure"
COM6,USACE - Galveston,"Hospital, Structure"
COM7,USACE - Galveston,"Average Medical Office, Structure"
COM8,USACE - Galveston,"Average Entertainment/Recreation, Structure"
COM9,USACE - Galveston,"Average theatre, Structure"
COM10,USACE - Galveston,"Garage, structure"
IND1,USACE - Galveston,"Average heavy industrial, Structure"
IND2,USACE - Galveston,"Average light industrial, structure"
IND3,USACE - Galveston,"Average Food/Drug/Chem, Structure"
IND4,USACE - Galveston,"Average Metals/Minerals processing, structure"
IND5,USACE - Galveston,"Average High Technology, structure"
IND6,USACE - Galveston,"Average Construction, structure"
AGR1,USACE - Galveston,"Average Agriculture, structure"
REL1,USACE - Galveston,"Church, structure"
GOV1,USACE - Galveston,"Average government services, structure"
GOV2,USACE - Galveston,"Average emergency response, Structure"
EDU1,USACE - Galveston,"Average school, structure"
EDU2,USACE - Galveston,"Average college/university, structure"
