Occupancy,FIRM,Flood Zone,Total loss ratio (%),Foundation (%),Below First Floor (%),Structure Framing (%),Roof Covering (%),Roof Framing (%),Exterior Walls (%),Interiors (%)
AGR1,0,A ,0,0,0,0,0,0,0,0
AGR1,0,A ,10,0,0,0,0,0,0,10
AGR1,0,A ,20,0,0,0,0,0,0.04,19.96
AGR1,0,A ,30,0,0,0,0,0,0.06,29.94
AGR1,0,A ,40,0,0,0,0,0,0.08,39.92
AGR1,0,A ,50,0,0,0,0,0,0.14,49.86
AGR1,0,A ,60,0,0,0,0,0,0.22,59.78
AGR1,0,A ,70,0.2,0,0.01,0.02,0.02,0.21,69.54
AGR1,0,A ,80,0.79,0,0.02,0.03,0.03,0.21,78.93
AGR1,0,A ,90,1.78,0,0.02,0.03,0.03,0.2,87.94
AGR1,0,A ,100,2.21,0,0.03,0.05,0.05,0.19,97.49
AGR1,0,CA,0,0,0,0,0,0,0,0
AGR1,0,CA,10,0,0,0,0,0,0.02,9.98
AGR1,0,CA,20,0,0,0,0,0,0.04,19.96
AGR1,0,CA,30,0,0,0,0,0,0.06,29.93
AGR1,0,CA,40,0,0,0,0,0,0.1,39.89
AGR1,0,CA,50,0,0,0,0.01,0.01,0.13,49.85
AGR1,0,CA,60,0.06,0,0.01,0.01,0.01,0.14,59.76
AGR1,0,CA,70,0.61,0,0.01,0.02,0.02,0.19,69.16
AGR1,0,CA,80,1,0,0.01,0.03,0.03,0.21,78.73
AGR1,0,CA,90,1.96,0,0.02,0.03,0.03,0.2,87.75
AGR1,0,CA,100,2.99,0,0.02,0.04,0.04,0.19,96.72
AGR1,0,V ,0,0,0,0,0,0,0,0
AGR1,0,V ,10,0,0,0,0,0,0.02,9.98
AGR1,0,V ,20,0,0,0,0,0,0.04,19.96
AGR1,0,V ,30,0,0,0,0,0,0.06,29.93
AGR1,0,V ,40,0,0,0,0,0,0.1,39.89
AGR1,0,V ,50,0,0,0,0.01,0.01,0.13,49.85
AGR1,0,V ,60,0.06,0,0.01,0.01,0.01,0.14,59.76
AGR1,0,V ,70,0.61,0,0.01,0.02,0.02,0.19,69.16
AGR1,0,V ,80,1,0,0.01,0.03,0.03,0.21,78.73
AGR1,0,V ,90,1.88,0,0.02,0.03,0.03,0.2,87.83
AGR1,0,V ,100,2.99,0,0.02,0.04,0.04,0.19,96.72
AGR1,1,A ,0,0,0,0,0,0,0,0
AGR1,1,A ,10,0,0,0,0,0,0.02,9.98
AGR1,1,A ,20,0,0,0,0,0,0.04,19.96
AGR1,1,A ,30,0,0,0,0,0,0.07,29.93
AGR1,1,A ,40,0,0,0,0,0,0.1,39.9
AGR1,1,A ,50,0,0,0,0,0,0.13,49.87
AGR1,1,A ,60,0.71,0,0,0.01,0.01,0.2,59.06
AGR1,1,A ,70,3.97,0,0.01,0.02,0.02,0.19,65.79
AGR1,1,A ,80,5.4,0,0.01,0.04,0.04,0.19,74.32
AGR1,1,A ,90,7.33,0,0.02,0.06,0.06,0.18,82.36
AGR1,1,A ,100,10.62,0,0.02,0.06,0.06,0.17,89.06
AGR1,1,CA,0,0,0,0,0,0,0,0
AGR1,1,CA,10,0,0,0,0,0,0.02,9.98
AGR1,1,CA,20,0,0,0,0,0,0.04,19.96
AGR1,1,CA,30,0,0,0,0.01,0.01,0.07,29.92
AGR1,1,CA,40,0,0,0,0.01,0.01,0.09,39.89
AGR1,1,CA,50,0,0,0,0.01,0.01,0.13,49.84
AGR1,1,CA,60,0.22,0,0.01,0.02,0.02,0.15,59.59
AGR1,1,CA,70,2.06,0,0.01,0.03,0.03,0.19,67.68
AGR1,1,CA,80,5.14,0,0.01,0.04,0.04,0.18,74.59
AGR1,1,CA,90,7.89,0,0.01,0.05,0.05,0.18,81.82
AGR1,1,CA,100,11.72,0,0.02,0.06,0.06,0.17,87.98
AGR1,1,V ,0,0,0,0,0,0,0,0
