Field,Description
BldgUniqueID,Building unique ID. The first four characters will be followed by a 9-digit zero-padded number.
Name,Typically assessor attribute for owner.
Address,Typically assessor field for property location.
City,Typically assessor field for property location city.
State,Typically assessor field for property location - state abbreviation.
ZipCode,Typically assessor field for property location Zip Code.
Contact,Typically assessor attribute for owner.
Tract,Value for Census Tract or an area roughly equal to a neighborhood established by the Census Bureau.
PhoneNumber,Typically assessor attribute for owner.
OccupancyClass,"Residential, Commercial, Industrial, Agriculture, Government, Education, and Religious/Non-Profit."
BuildingType,"Core construction material type; Wood, Concrete, Steel, Masonry, Manufactured Housing."
Cost,Replacement value; assessor data does not often include replacement cost. It is usually derived by considering heated or livable space and multiplied by cost per square foot.
YearBuilt,Typically assessor attribute.
Area,Heated or livable space. May or may not exist in typically assessor attributes. Can potentially be derived from building footprints.
NumberofStories,Typically assessor attribute. Indicates number of stories.
DesignLevel,"Must have the year built to establish; see Hazus Flood Model User Manual, Table 6.2."
FoundationType,Flood model needs to distinguish which of seven types.
FirstFloorHt,Flood model needs height (in feet) above grade. Can be based on default values assigned to foundation types or other preferred methods.
ContentCost,Can be calculated from formula to be applied to final cost per Hazus Flood Model User Manual.
BldgDmgFnID,The damage function ID from Hazus would be entered in this field if anything other than the default was to be used. The damage function is based on the building characteristics defined in the items above.
ContDmgFnID,The damage function ID from Hazus would be entered in this field if anything other than the default was to be used. The damage function is based on the building characteristics defined in the items above.
InvDmgFnID,The damage function ID from Hazus would be entered in this field if anything other than the default was to be used. The damage function is based on the building characteristics defined in the items above.
FloodProtection,"Does protection exist, and if yes to what frequency? (e.g., 100-year)."
ShelterCapacity,Number of persons that can be sheltered.
BackupPower,Does backup power exist? [yes (1) or no (0)]
Latitude,Latitude of the Building Centroid (inside polygon).
Longitude,Longitude of the Building Centroid (inside polygon).
Comment,As needed.
InventoryCost,Can be calculated from formula to be applied to final cost per Hazus Flood Model User Manual.
RiverineCoastal,Can be used to identify if building is in riverine or coastal areas. Can be used to help designate the Damage Function IDs.
HzSourceCit,Source Citation details.
