Occupancy,FIRM,Total loss ratio (%),Foundation (%),Below First Floor (%),Structure Framing (%),Roof Covering (%),Roof Framing (%),Exterior Walls (%),Interiors (%)
AGR1,0,0,0,0,0,0,0,0,0
AGR1,0,10,0,0,0,4.65,0.51,0.93,3.91
AGR1,0,20,0,0,0,6.53,1.1,1.86,10.51
AGR1,0,30,0,0,0,7.7,1.67,3.11,17.52
AGR1,0,40,0,0,0,8.76,2.22,4.44,24.57
AGR1,0,50,0,0,0,9.29,2.95,5.53,32.22
AGR1,0,60,0,0,0.01,9.99,3.66,6.83,39.52
AGR1,0,70,0,0,0.03,11.16,4.41,9.4,45
AGR1,0,80,0.06,0,0.48,11.25,8.21,15,45
AGR1,0,90,8.32,0,2.14,11.25,8.3,15,45
AGR1,0,100,13.89,0,3.57,11.25,11.25,15,45
AGR1,1,0,0,0,0,0,0,0,0
AGR1,1,10,0,0,0,4.85,0.53,0.88,3.74
AGR1,1,20,0,0,0,6.89,1.16,1.8,10.16
AGR1,1,30,0,0,0,8.17,1.77,3.02,17.03
AGR1,1,40,0,0,0,9.32,2.37,4.34,23.97
AGR1,1,50,0,0,0,9.92,3.15,5.41,31.52
AGR1,1,60,0,0,0.01,10.68,3.91,6.69,38.72
AGR1,1,70,0,0,0.03,11.25,5.91,11.55,41.25
AGR1,1,80,0.36,0,2.14,11.25,11.25,13.75,41.25
AGR1,1,90,10.36,0,2.14,11.25,11.25,13.75,41.25
AGR1,1,100,18.62,0,3.84,11.25,11.25,13.75,41.25
COM1,0,0,0,0,0,0,0,0,0
COM1,0,10,0,0,0,2.78,0.22,0.68,6.32
COM1,0,20,0,0,0,3.45,0.57,1.18,14.8
COM1,0,30,0,0,0.01,3.84,0.76,1.98,23.42
COM1,0,40,0,0,0.03,4.25,0.94,2.63,32.15
COM1,0,50,0,0,0.03,4.71,1.12,3.16,40.97
COM1,0,60,0.02,0,0.03,4.79,1.36,3.89,49.91
COM1,0,70,0.05,0,0.03,5.02,1.54,5.01,58.34
COM1,0,80,0.08,0,0.15,5.37,2.51,6.52,65.38
COM1,0,90,1.71,0,3.34,5.99,4.26,7.89,66.8
COM1,0,100,1.9,0,3.73,6.25,4.76,8.81,74.53
COM1,1,0,0,0,0,0,0,0,0
COM1,1,10,0,0,0,2.89,0.23,0.64,6.24
COM1,1,20,0,0,0,3.6,0.6,1.11,14.7
COM1,1,30,0,0,0.01,4.01,0.79,1.87,23.32
COM1,1,40,0,0,0.03,4.45,0.98,2.48,32.06
COM1,1,50,0,0,0.03,4.94,1.18,2.98,40.88
COM1,1,60,0.03,0,0.03,5.02,1.43,3.67,49.82
COM1,1,70,0.1,0,0.03,5.26,1.61,4.73,58.26
COM1,1,80,0.15,0,0.14,5.63,2.63,6.15,65.3
COM1,1,90,3.23,0,3.11,6.19,4.41,7.34,65.73
COM1,1,100,3.61,0,3.48,6.25,4.93,8.21,73.49
COM10,0,0,0,0,0,0,0,0,0
COM10,0,10,0,0,0,0,0,1,9
COM10,0,20,0,0,0,0,0,3,17
COM10,0,30,0,0,0,0,0,6,24
COM10,0,40,0,0,0,0,0,8,32
COM10,0,50,0,0,0,0,2.4,11.3,36.3
COM10,0,60,0,0,0,0,12.4,11.3,36.3
COM10,0,70,0,0,9.9,0,12.5,11.3,36.3
COM10,0,80,0,0,19.9,0,12.5,11.3,36.3
COM10,0,90,0,0,29.9,0,12.5,11.3,36.3
COM10,0,100,2,0,37.9,0,12.5,11.3,36.3
COM10,1,0,0,0,0,0,0,0,0
COM10,1,10,0,0,0,0,0,1,9
COM10,1,20,0,0,0,0,0,3,17
COM10,1,30,0,0,0,0,0,6,24
COM10,1,40,0,0,0,0,0,8,32
COM10,1,50,0,0,0,0,7.5,10,32.5
COM10,1,60,0,0,5,0,12.5,10,32.5
COM10,1,70,0,0,15,0,12.5,10,32.5
COM10,1,80,0,0,25,0,12.5,10,32.5
COM10,1,90,0,0,35,0,12.5,10,32.5
COM10,1,100,2,0,43,0,12.5,10,32.5
COM2,0,0,0,0,0,0,0,0,0
COM2,0,10,0,0,0,3.38,0.37,1.13,5.11
COM2,0,20,0,0,0,4.87,0.75,1.92,12.46
COM2,0,30,0,0,0,6.49,1.11,2.55,19.84
COM2,0,40,0,0,0,7.56,1.4,2.83,28.22
COM2,0,50,0,0,0,7.98,1.68,3.67,36.66
COM2,0,60,0,0,0,8.65,2.03,4.49,44.84
COM2,0,70,0,0,0.01,9.2,2.4,5.85,52.55
COM2,0,80,0.05,0,0.09,11.08,3.76,8.77,56.25
COM2,0,90,5.72,0,1.64,11.08,6.54,8.77,56.25
COM2,0,100,8.4,0,2.4,11.25,8.75,12.9,56.25
COM2,1,0,0,0,0,0,0,0,0
COM2,1,10,0,0,0,3.54,0.39,1.08,4.99
COM2,1,20,0,0,0,5.13,0.79,1.83,12.24
COM2,1,30,0,0,0,6.85,1.18,2.45,19.53
COM2,1,40,0,0,0,7.98,1.48,2.71,27.82
COM2,1,50,0,0,0,8.45,1.78,3.54,36.23
COM2,1,60,0,0,0,9.16,2.15,4.33,44.36
COM2,1,70,0,0,0,9.76,2.54,5.65,52.04
COM2,1,80,0.08,0,0.1,11.25,5.15,10.92,52.5
COM2,1,90,7.26,0,1.42,11.25,6.64,10.92,52.5
COM2,1,100,12.5,0,2.45,11.25,8.75,12.5,52.5
COM3,0,0,0,0,0,0,0,0,0
COM3,0,10,0,0,0,3.52,0.24,0.57,5.67
COM3,0,20,0,0,0,4.81,0.49,1.1,13.6
COM3,0,30,0,0,0,5.77,0.72,1.82,21.7
COM3,0,40,0,0,0,6.43,0.92,2.6,30.05
COM3,0,50,0,0,0,6.98,1.21,3.24,38.57
COM3,0,60,0,0,0,7.49,1.47,4.04,47
COM3,0,70,0.01,0,0.02,7.94,1.83,5.42,54.78
COM3,0,80,0.3,0,0.43,8.47,2.3,6.64,61.86
COM3,0,90,3.54,0,2.47,8.55,2.62,7.51,65.31
COM3,0,100,3.96,0,2.77,8.75,2.94,8.41,73.16
COM3,1,0,0,0,0,0,0,0,0
COM3,1,10,0,0,0,3.64,0.25,0.53,5.58
COM3,1,20,0,0,0,5,0.51,1.03,13.45
COM3,1,30,0,0,0,6.02,0.75,1.71,21.53
COM3,1,40,0,0,0,6.72,0.96,2.45,29.87
COM3,1,50,0,0,0,7.31,1.26,3.05,38.38
COM3,1,60,0,0,0,7.84,1.54,3.81,46.8
COM3,1,70,0.01,0,0.02,8.32,1.92,5.11,54.61
COM3,1,80,0.47,0,0.39,8.75,2.41,6.27,61.71
COM3,1,90,5.46,0,2.23,8.75,2.7,6.96,63.9
COM3,1,100,6.14,0,2.5,8.75,3.03,7.81,71.76
COM4,0,0,0,0,0,0,0,0,0
COM4,0,10,0,0,0,0.65,0.36,1.17,7.83
COM4,0,20,0,0,0,0.77,0.59,2.32,16.32
COM4,0,30,0,0,0,0.9,0.78,3.13,25.18
COM4,0,40,0,0,0,0.94,0.98,4.41,33.67
COM4,0,50,0,0,0,0.98,1.24,5.6,42.17
COM4,0,60,0,0,0,1.04,1.54,6.78,50.64
COM4,0,70,0,0,0.01,1.08,1.8,8.79,58.32
COM4,0,80,0.03,0,0.16,1.13,2.24,10.77,65.66
COM4,0,90,1.36,0,2.03,1.23,3.03,12.27,70.08
COM4,0,100,1.51,0,2.26,1.25,3.37,13.64,77.96
COM4,1,0,0,0,0,0,0,0,0
COM4,1,10,0,0,0,0.67,0.38,1.15,7.8
COM4,1,20,0,0,0,0.81,0.62,2.29,16.28
COM4,1,30,0,0,0,0.95,0.82,3.09,25.14
COM4,1,40,0,0,0,0.98,1.03,4.35,33.63
COM4,1,50,0,0,0,1.03,1.3,5.52,42.14
COM4,1,60,0,0,0,1.1,1.61,6.69,50.6
COM4,1,70,0,0,0.01,1.13,1.89,8.68,58.29
COM4,1,80,0.06,0,0.15,1.19,2.35,10.64,65.61
COM4,1,90,3.15,0,1.9,1.25,3.12,11.88,68.7
COM4,1,100,3.72,0,2.25,1.25,3.69,14.04,75
COM5,0,0,0,0,0,0,0,0,0
COM5,0,10,0,0,0,2.2,0.8,0.49,6.51
COM5,0,20,0,0,0,2.83,1.53,0.88,14.75
COM5,0,30,0,0,0,3.33,2.16,1.42,23.09
COM5,0,40,0,0,0,3.69,2.7,2.01,31.6
COM5,0,50,0,0,0,3.95,3.47,2.49,40.09
COM5,0,60,0,0,0,4.22,4.2,3.09,48.48
COM5,0,70,0,0,0.02,4.45,5.23,4.12,56.17
COM5,0,80,0.18,0,0.48,4.73,6.62,5.1,62.88
COM5,0,90,1.97,0,2.74,4.81,7.66,5.82,67
COM5,0,100,2.19,0,3.06,5,8.54,6.49,74.7
COM5,1,0,0,0,0,0,0,0,0
COM5,1,10,0,0,0,2.29,0.83,0.45,6.43
COM5,1,20,0,0,0,2.95,1.6,0.81,14.64
COM5,1,30,0,0,0,3.48,2.26,1.29,22.97
COM5,1,40,0,0,0,3.86,2.83,1.83,31.47
COM5,1,50,0,0,0,4.14,3.63,2.28,39.96
COM5,1,60,0,0,0,4.42,4.4,2.84,48.34
COM5,1,70,0.01,0,0.02,4.67,5.48,3.78,56.05
COM5,1,80,0.35,0,0.46,4.95,6.92,4.67,62.65
COM5,1,90,3.71,0,2.54,4.95,7.88,5.24,65.67
COM5,1,100,4.15,0,2.84,5,8.8,5.85,73.34
COM6,0,0,0,0,0,0,0,0,0
