Attribute,Description,Format,Source,Field,Transformation,Detail,Phase,Notes
BldgID,"Building unique ID. The first four characters will be “NJBF,” followed by a 9-digit zero-padded number.",NJBF#########,NJDEP UDF ,BldgUniqueID,None,"32,828 buildings",Asset Description,Consider how to capture provenance info; IDs link to methodology?
Address,Typically assessor field for property location. This is distinct from Street Address in MODIV which is associated with the billing address,Alphanumeric,MODIV,PROP_LOC,None, ,Asset Description,For informational purposes only; use coordinates for locating property
City,Typically assessor field for property location – city.,Alphanumeric,MODIV,MUN_NAME,None,This is needed for Hazus Assignment,Asset Description, 
State,Typically assessor field for property location - state abbreviation.,Alphanumeric, ,Autogenerated,,Populate with NJ by default,Asset Description, 
Latitude,Latitude of the Building Centroid (inside polygon).,Floating point number (Decimal Degrees),NJDEP UDF ,Latitude,"Transformed to WGS84, EPSG 4326",,Asset Description,
Longitude,Longitude of the Building Centroid (inside polygon).,Floating point number (Decimal Degrees),NJDEP UDF ,Longitude,"Transformed to WGS84, EPSG 4326",,Asset Description,
OccupancyClass,"Subclassifications of buildings across various categories of Residential (RES), Commercial (COM), Industrial (IND), Agriculture (AGR), Government (GOV), Education (EDU), Religious/Non-Profit (REL).","Choices: RES1, RES2, RES3A, RES3B, RES3C, RES3D, RES3E, RES3F, RES4, RES5, RES6, COM1, COM2, COM3, COM4, COM5, COM6, COM7, COM8, COM9, COM10, IND1, IND2, IND3, IND4, IND5, IND6, AGR1, REL1, GOV1, GOV2, EDU1, EDU2
",NJDEP UDF ,OccupancyClass,None,"RES1 - Single Family Dwelling
RES2 - Mobile Home
RES3A - Multi Family Dwelling - Duplex
RES3B - Multi Family Dwelling - 3-4 Units
RES3C - Multi Family Dwelling - 5-9 Units
RES3D - Multi Family Dwelling - 10-19 Units
RES3E - Multi Family Dwelling - 20-49 Units
RES3F - Multi Family Dwelling - 50+ Units
RES4 - Temporary Lodging
RES5 - Institutional Dormitory
RES6 - Nursing Home
COM1 - Retail Trade
COM2 - Wholesale Trade
COM3 - Personal and Repair Services
COM4 - Business/ Professional/ Technical Services
COM5 - Depository Institutions
COM6 - Hospitals
COM7 - Medial Office/ Clinics
COM8 - Entertainment & Recreation
COM9 - Theaters
COM10 - Parking
IND1 - Heavy
IND2 - Light
IND3 - Food/ Drugs/ Chemicals
IND4 - Metals/ Minerals Processing
IND5 - High Technology
IND6 - Construction
AGR1 - Agriculture
REL1 - Church/ Membership Organizations
GOV1 - General Services
GOV2 - Emergency Services
EDU1 - Schools/ Libraries
EDU2 - Colleges/ Universities",Asset Description,"Flood, Wind

Map NJDEP UDF to various Hazus Classes later (which vary by hazards)

Confirmed available for all buildings"
BuildingType,"Core construction material type; Wood, Concrete, Steel, Masonry, Manufactured Housing.","Choices: 3001, 3002, 3003, 3004, 3005",NJDEP UDF,BuildingType,None,"3001 - Wood 
3002 - Steel 
3003 - Concrete  
3004 - Masonry  
3005 - ManufHousing - Mobile Home",Asset Description,Missing for 2 buildings. Missing points filled based on street-level imagery.
UseCode,"Class 4 Use Codes (Field 67) applicable to commercial buildings only, describing specific use of commercial properties.",Integer (3-digit),MODIV,PROP_USE,,See MODIV Manual Reference B,Asset Description,Available for 1545 buildings (4.71% coverage).
BldgClass,Building class according to NJ Appraisal Manual (see Vol 2),Integer (3-digit),MODIV,BLDG_CLASS,,"Can help to classify structural systems, roofs, envelopes and quality of construction; see BldgClass Tab",Asset Description,Missing for 5737 buildings (82.5% coverage).
EssentialClass,Designates several classes of essential facilities in the region based on open data to ensure they are properly modeled.,"Choices: PS, EOC, HO, HS, SCH ",NJOIT Data,,,"PS: police station
FS: fire station
EOC: emergency operation center
HO: hospital 
SCH: school (Encompasses ES: elementary school, HS: high school)
Process KMLs against footprints to identify locations of police stations, emergency operations cetners, hospitals, high schools, fire stations, and elementary schools. Available KMLs define locations of Schools, Fire Stations, Emergency Medical Services, Law Enforcement (Police) and hospitals. Note EOCs for Atlantic County muncipalities are generally police stations, so EOCs will not be explicitly distinguished from PS in this testbed. The County EOC is located at: 5033 English Creek Avenue, Egg Harbor Township, NJ 08234.",Asset Description,
