ID,RoofShape,FloodZone,Area,Longitude,Latitude,Terrain,DSWII,BuildingType,AvgJanTemp,Garage,NumberOfStories,YearBuilt,RoofSlope,MeanRoofHt,OccupancyClass
1,Gable,X,112,-93.29,30.17,51,132,Wood,Above,0,1,1994,0,12,RES3
2,Hip,X,148,-93.3,30.17,42,132.2,Wood,Above,0,1,1998,0.06,13.1,RES3
3,Gable,X,65,-93.29,30.17,11,132.1,Wood,Above,1,1,1994,0.08,13.5,RES3
4,Gable,X,110,-93.29,30.17,52,132,Wood,Above,0,1,1995,0.05,12.9,RES3
5,Gable,X,65,-93.28,30.16,11,132.3,Wood,Above,0,1,1998,0.97,11.5,COM1
6,Hip,X,581,-93.29,30.17,11,132.3,Wood,Above,0,1,1996,0.05,17.3,RES1
7,Hip,X,65,-93.29,30.17,11,132.2,Wood,Above,0,2,1998,0.29,29.2,COM1
8,Gable,X,83,-93.29,30.17,11,132.3,Wood,Above,0,1,1999,0.17,15.1,RES1
9,Hip,X,148,-93.3,30.17,42,132.2,Wood,Above,0,1,1998,0.06,13.1,RES3
10,Gable,X,55,-93.28,30.17,11,132.2,Wood,Above,0,1,1997,0.16,14.9,RES3
11,Hip,X,487,-93.29,30.16,11,132.4,Wood,Above,2,1,1996,0.07,13.2,RES1
12,Hip,X,107,-93.3,30.17,42,132.3,Wood,Above,0,1,1998,0,12,RES3
13,Gable,X,423,-93.29,30.17,11,132.3,Wood,Above,0,1,1998,0.13,11.3,RES1
14,Gable,X,478,-93.28,30.17,11,132.2,Wood,Above,1,2,2000,0.04,24.3,COM1
15,Flat,X,144,-93.28,30.17,52,132,Wood,Above,1,1,1995,0.2,12,RES3
16,Gable,X,101,-93.29,30.16,42,132.3,Wood,Above,1,2,1997,0.24,16.4,RES1
17,Gable,X,86,-93.29,30.17,11,132.1,Wood,Above,0,1,1998,0.51,17.2,RES1
18,Hip,X,797,-93.29,30.17,51,132,Wood,Above,2,1,1995,0.04,12.8,RES3
19,Flat,X,90,-93.3,30.17,11,132.1,Wood,Above,0,2,1999,0.65,33.3,RES1
20,Gable,X,129,-93.28,30.16,11,132.3,Wood,Above,1,1,1997,0.24,16.4,RES3
