ID,DMG_LEVEL,COUNTY,STATE,LONGITUDE,LATITUDE
1,DES,Calcasieu,LA,-93.29,30.17
2,NOD,Calcasieu,LA,-93.30,30.17
3,NOD,Calcasieu,LA,-93.29,30.17
4,NOD,Calcasieu,LA,-93.29,30.17
5,NOD,Calcasieu,LA,-93.28,30.16
6,NOD,Calcasieu,LA,-93.29,30.17
7,NOD,Calcasieu,LA,-93.29,30.17
8,NOD,Calcasieu,LA,-93.29,30.17
9,NOD,Calcasieu,LA,-93.30,30.17
10,AFF,Calcasieu,LA,-93.28,30.17
11,NOD,Calcasieu,LA,-93.29,30.16
12,NOD,Calcasieu,LA,-93.30,30.17
13,NOD,Calcasieu,LA,-93.29,30.17
14,NOD,Calcasieu,LA,-93.28,30.17
15,NOD,Calcasieu,LA,-93.28,30.17
16,NOD,Calcasieu,LA,-93.29,30.16
17,NOD,Calcasieu,LA,-93.29,30.17
18,NOD,Calcasieu,LA,-93.29,30.17
19,NOD,Calcasieu,LA,-93.29,30.17
20,AFF,Calcasieu,LA,-93.28,30.16
