BldgID,RoofShape,PlanArea,Longitude,Latitude,LULC,DWSII,BuildingType,OccupancyClass,AvgJanTemp,Garage,NumberOfStories,MeanRoofHt,RoofSlope,YearBuilt
1,Hip,745,-93.19,30.27,43,128.7,Wood,RES3,Above,0,1,15,0.25,1962
2,Gable,250,-93.19,30.26,11,129,Wood,RES1,Above,0,1,12.97,0.21,1970
3,Gable,170,-93.19,30.26,11,129,Wood,RES1,Above,0,1,16.28,0.22,1969
4,Gable,142,-93.18,30.26,11,129,Wood,RES1,Above,1,2,34.58,0.12,1974
5,Gable,270,-93.18,30.26,11,128.9,Wood,RES1,Above,1,1,14.22,0.33,1968
6,Gable,160,-93.18,30.27,11,128.8,Wood,RES1,Above,1,1,16.06,0.3,1957
7,Hip,257,-93.21,30.22,11,130.2,Wood,RES1,Above,0,1,16.18,0.16,1950
8,Hip,143,-93.21,30.22,11,130.2,Wood,RES1,Above,0,2,22.68,0.11,1944
9,Hip,290,-93.21,30.23,11,130.1,Wood,RES1,Above,0,2,28.98,0.33,1941
10,Gable,229,-93.21,30.23,12,130,Wood,RES3,Above,0,2,30.38,0.45,1941
11,Gable,213,-93.20,30.25,11,129.3,Wood,RES3,Above,1,1,13.48,0.65,1959
12,Gable,125,-93.19,30.25,11,129.3,Wood,RES1,Above,0,1,17.19,0.17,1955
13,Gable,128,-93.19,30.25,11,129.3,Wood,RES1,Above,1,2,31.5,0.92,1956
14,Gable,202,-93.19,30.25,11,129.3,Wood,RES1,Above,0,1,15.95,0.69,1959
15,Flat,98,-93.19,30.25,11,129.3,Wood,RES1,Above,0,1,16.93,0.65,1955
16,Hip,193,-93.20,30.25,11,129.3,Wood,RES1,Above,1,2,30.1,1.28,1958
17,Hip,303,-93.19,30.25,11,129.2,Wood,RES3,Above,0,1,15,0.25,1959
18,Hip,288,-93.20,30.24,13,129.6,Wood,RES1,Above,1,1,13.06,0.45,1964
19,Flat,108,-93.20,30.24,11,129.5,Wood,RES1,Above,1,1,12.8,0.06,1965
20,Gable,204,-93.20,30.25,11,129.4,Wood,RES1,Above,1,3,36.12,0.65,1958
