id, str type, min #story, max #story, height, Sy, eta, C, gamma, eta_soft, alpha, beta, a_k, omega, damage1, damage2, damage3, damage4, T1, T2, hos, damp
1,W1,1,50,18.4547,0.4,0.0870354,1000,0.8,-0.001,3,1,0.1,0.2,0.004,0.012,0.04,0.1,0.35,0.33333,4.27,0.1
2,W2,1,50,56.243,0.4,0.0794118,1000,0.6,-0.001,2.5,1,0.1,0.2,0.004,0.012,0.04,0.1,0.2,0.33333,3.66,0.1
3,S1L,1,3,38.7247,0.25,0.0865974,1000,1,-0.001,3,1,0,0.2,0.006,0.012,0.03,0.08,0.25,0.33333,3.66,0.05
4,S1M,4,7,51.7562,0.156,0.133734,1000,1,-0.001,3,1,0,0.2,0.004,0.008,0.02,0.0533,0.216,0.33333,3.66,0.05
5,S1H,8,50,62.9659,0.098,0.181032,1000,1,-0.001,3,1,0,0.2,0.003,0.006,0.015,0.04,0.17,0.33333,3.66,0.05
6,S2L,1,3,56.243,0.4,0.0670927,1000,0.5,-0.001,2,1,0,0.2,0.005,0.01,0.03,0.08,0.2,0.33333,3.66,0.05
7,S2M,4,7,75.8694,0.333,0.103936,1000,0.5,-0.001,2,1,0,0.2,0.0033,0.0067,0.02,0.0533,0.172,0.33333,3.66,0.05
8,S2H,8,50,85.0452,0.254,0.142936,1000,0.5,-0.001,2,1,0,0.2,0.0025,0.005,0.015,0.04,0.136154,0.33333,3.66,0.05
9,S3,1,50,14.0607,0.4,0.0670927,1000,1,-0.001,2,1,0,0.2,0.004,0.008,0.024,0.07,0.4,0.33333,4.57,0.05
10,S4L,1,3,74.5959,0.32,0.0727412,1000,0.5,-0.001,2.25,1,0,0.2,0.004,0.008,0.024,0.07,0.175,0.33333,3.66,0.05
